"BUS","","","","","","","","","","","","","","","","","","",""
"MARKETING","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"237
MARKETNG","","","","","","","","","","","","","","","","","","",""
"","300
001","196","3.143","12.8","38.8","27.0","13.3","5.6","2.0","0.5",".",".",".",".",".",".",".",".","."
"","300
002","168","3.241","16.1","41.1","26.8","11.9","3.0",".","1.2",".",".",".",".",".",".",".",".","."
"","003
300","87","3.207","10.3","43.7","29.9","11.5","3.4","1.1",".",".",".",".",".",".",".",".",".","."
"Marketing Management","Course Total","451","3.192","13.5","40.6","27.5","12.4","4.2","1.1","0.7",".",".",".",".",".",".",".",".","."
"","305
001","50","3.810","78.0","8.0","12.0","2.0",".",".",".",".",".",".",".",".",".",".",".","."
"","305
002","50","3.370","24.0","38.0","30.0","4.0","4.0",".",".",".",".",".",".",".",".",".",".","."
"","305
003","47","3.755","59.6","31.9","8.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","004
305","49","3.684","57.1","26.5","14.3",".","2.0",".",".",".",".",".",".",".",".",".",".","."
"Consumer Behavior","Course Total","196","3.653","54.6","26.0","16.3","1.5","1.5",".",".",".",".",".",".",".",".",".",".","."
"","310
001","33","3.242","24.2","18.2","48.5","6.1",".","3.0",".",".",".",".",".",".",".",".",".","."
"","310
002","41","3.329","22.0","34.1","31.7","12.2",".",".",".",".",".",".",".",".",".",".",".","."
"","310
003","41","3.451","39.0","26.8","26.8","4.9",".","2.4",".",".",".",".",".",".",".",".",".","."
"Marketing Research","Course Total","115","3.348","28.7","27.0","34.8","7.8",".","1.7",".",".",".",".",".",".",".",".",".","."
"","355
001","51","3.696","56.9","27.5","13.7","2.0",".",".",".",".",".",".",".",".",".",".",".","."
"","355
002","51","3.608","49.0","37.3","7.8","2.0","2.0","2.0",".",".",".",".",".",".",".",".",".","."
"Marketing in a Digital Age","Course Total","102","3.652","52.9","32.4","10.8","2.0","1.0","1.0",".",".",".",".",".",".",".",".",".","."
"","365
001","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","365
002","35","3.600","40.0","45.7","11.4",".","2.9",".",".",".",".",".",".",".",".",".",".","."
"Contemporary Topics","Course Total","44","3.661","52.3","36.4","9.1",".","2.3",".",".",".",".",".",".",".",".",".",".","."
"","415
001","46","3.022","8.7","13.0","60.9","8.7","8.7",".",".",".",".",".",".",".",".",".",".","."
"","415
002","43","3.000","11.6","11.6","55.8","11.6","7.0","2.3",".",".",".",".",".",".",".",".",".","."
"Marketing Communications","Course Total","89","3.011","10.1","12.4","58.4","10.1","7.9","1.1",".",".",".",".",".",".",".",".",".","."
"Global Marketing Strategy","420
001","34","3.338","20.6","41.2","26.5","8.8","2.9",".",".",".",".",".",".",".",".",".",".","."
"Fundamentls-Supply Chain Mgmt","001
421","23","3.891","82.6","13.0","4.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Procurement & Supply Managemnt","423
002","40","3.731","60.0","27.5","7.5",".","2.5",".",".","2.5",".",".",".",".",".",".",".","."
"","425
001","9","3.500","33.3","33.3","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","425
002","26","3.481","26.9","53.8","11.5","3.8","3.8",".",".",".",".",".",".",".",".",".",".","."
"","425
003","20","3.325","15.0","35.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Marketing Channels","Course Total","55","3.427","23.6","43.6","29.1","1.8","1.8",".",".",".",".",".",".",".",".",".",".","."
"Enterprise Sys & Supply Chain","427
001","50","3.390","32.0","30.0","22.0","16.0",".",".",".",".",".",".",".",".",".",".",".","."
"","460
001","31","3.339","22.6","45.2","16.1","9.7","6.5",".",".",".",".",".",".",".",".",".",".","."
"","460
002","44","3.500","34.1","38.6","22.7","2.3","2.3",".",".",".",".",".",".",".",".",".",".","."
"","003
460","47","3.404","27.7","40.4","21.3","6.4","4.3",".",".",".",".",".",".",".",".",".",".","."
"Marketing Strategy","Course Total","122","3.422","28.7","41.0","20.5","5.7","4.1",".",".",".",".",".",".",".",".",".",".","."
"Retail Management","640
001","27","3.037","14.8","14.8","44.4","14.8","11.1",".",".",".",".",".",".",".",".",".",".","."
"Marketing Communications","001
715","27","3.111","22.2","3.7","59.3","3.7","11.1",".",".",".",".",".",".",".",".",".",".","."
"Strategic Global Sourcing","724
001","24","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Enterprise Sys & Supply Chain","727
001","25","3.760","68.0","16.0","16.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Creating New Products","737
001","44","3.581","43.2","27.3","27.3",".",".",".",".","2.3",".",".",".",".",".",".",".","."
"Marketing in a Digital Age","755
030","45","3.644","44.4","40.0","15.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","765
001","28","3.929","89.3","7.1","3.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","765
002","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","765
003","43","3.826","81.4","7.0","7.0","4.7",".",".",".",".",".",".",".",".",".",".",".","."
