"MEDICAL SCIENCES - VET MED","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"623
MED SC-V","","","","","","","","","","","","","","","","","","",""
"Animal Hlth Hist Restraint","570
001","89","4.000","2.2",".",".",".",".",".",".","94.4",".",".",".",".","3.4",".",".","."
"Sm Animal Emrgncy&Crit Care I","576
001","39","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Vet Diag&Therapeut Techniq","625
001","88","4.000","98.9",".",".",".",".",".",".","1.1",".",".",".",".",".",".",".","."
"Veterinary Nutrition","629
001","89","3.253","25.8","18.0","43.8","5.6","6.7",".",".",".",".",".",".",".",".",".",".","."
"Companion Animal&Equine Med II","633
001","88","3.364","34.1","19.3","37.5","3.4","5.7",".",".",".",".",".",".",".",".",".",".","."
"Swine Medicine","635
001","88","3.477","37.5","22.7","36.4","1.1","1.1",".",".",".",".",".",".",".","1.1",".",".","."
"Small Animal Neurology","667
001","12","4.000","41.7",".",".",".",".",".",".","58.3",".",".",".",".",".",".",".","."
"","668
001","23","4.000","34.8",".",".",".",".",".",".","65.2",".",".",".",".",".",".",".","."
"","668
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Clin Dermatology Rotation","Course Total","24","4.000","33.3",".",".",".",".",".",".","66.7",".",".",".",".",".",".",".","."
"Small Anml Cardiolgy Rotatn","669
001","22","4.000","31.8",".",".",".",".",".",".","68.2",".",".",".",".",".",".",".","."
"","670
001","31","4.000","51.6",".",".",".",".",".",".","48.4",".",".",".",".",".",".",".","."
"","670
002","8","4.000","37.5",".",".",".",".",".",".","62.5",".",".",".",".",".",".",".","."
"Sr Rotation:Lrge Animal Med","Course Total","39","4.000","48.7",".",".",".",".",".",".","51.3",".",".",".",".",".",".",".","."
"Sr Rotation:Theriogenology","672
001","11","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Sr Rotation:Ambulatory Serv","674
001","42","4.000","69.0",".",".",".",".",".",".","31.0",".",".",".",".",".",".",".","."
"","675
001","26","4.000","88.5",".",".",".",".",".",".","11.5",".",".",".",".",".",".",".","."
"","675
002","14","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","675
004","11","",".",".",".",".",".",".",".","90.9",".",".",".",".","9.1",".",".","."
"","675
005","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","675
006","13","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","675
007","22","4.000","22.7",".",".",".",".",".",".","77.3",".",".",".",".",".",".",".","."
"","675
008","30","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","675
009","89","",".",".",".",".",".",".",".","74.2",".",".",".",".","25.8",".",".","."
"","675
010","20","4.000","40.0",".",".",".",".",".",".","60.0",".",".",".",".",".",".",".","."
"","675
011","45","4.000","4.4",".",".",".",".",".",".","95.6",".",".",".",".",".",".",".","."
"","675
012","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","675
015","84","",".",".",".",".",".",".",".","58.3",".",".",".",".","41.7",".",".","."
"","675
016","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","675
021","88","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","675
023","88","4.000","2.3",".",".",".",".",".",".","97.7",".",".",".",".",".",".",".","."
"Special Topics","Course Total","536","4.000","14.2",".",".",".",".",".",".","74.8",".",".",".",".","11.0",".",".","."
"","678
001","37","4.000","64.9",".",".",".",".",".",".","35.1",".",".",".",".",".",".",".","."
"","678
002","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Small Animal Internal Med","Course Total","41","4.000","61.0",".",".",".",".",".",".","39.0",".",".",".",".",".",".",".","."
"Small Animal Oncology","679
001","17","4.000","70.6",".",".",".",".",".",".","29.4",".",".",".",".",".",".",".","."
"","699
006","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
016","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
017","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
019","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
025","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
026","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
027","20","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","699
028","2","***","","","","","","","","","",".",".",".",".",".",".","."
"June 30, 2017","","","","","","","","","","","","","","","","","","Page 413 of 422",""
