"ENGR PROFESSIONAL DEVELO Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"348
E P D","","","","","","","","","","","","","","","","","","","",""
"","690
010","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","690
011","","7","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","690
013","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics in E P D","Course Total","","31","3.938","87.1","9.7","3.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
014","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
063","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","3","***","","","","","","","","","","","","","","","",""
"","702
001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","702
002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","702
003","","6","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Professional Presentations","Course Total","","14","3.821","64.3","35.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Organizational Communication","704
001","","8","3.688","50.0","37.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Sustainable Facilities","730
003","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"E P D
348","Dept. Total","","598","3.529","48.2","27.9","16.2","3.8","1.5","0.3","0.7",".",".",".",".",".","1.3",".",".","."
