"GENERAL BUSINESS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"231
GEN BUS","","","","","","","","","","","","","","","","","","",""
"","300
001","23","3.848","78.3","13.0","8.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","300
002","24","3.854","70.8","29.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","300
003","25","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","300
004","27","3.778","55.6","44.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","300
005","24","3.979","95.8","4.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","300
006","26","3.769","57.7","38.5","3.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","300
007","22","3.591","50.0","45.5",".",".",".",".","4.5",".",".",".",".",".",".",".",".","."
"","300
008","25","3.840","76.0","20.0",".","4.0",".",".",".",".",".",".",".",".",".",".",".","."
"","300
009","26","3.731","65.4","23.1","3.8","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"","300
010","21","3.690","52.4","38.1","4.8","4.8",".",".",".",".",".",".",".",".",".",".",".","."
"","011
300","23","3.696","43.5","52.2","4.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","012
300","24","3.917","91.7",".","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","300
013","27","3.852","74.1","22.2","3.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","300
014","16","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","300
015","26","3.942","88.5","11.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","300
016","15","3.667","46.7","46.7",".","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"","300
017","14","3.964","92.9","7.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","300
018","28","3.893","78.6","21.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Professional Communication","Course Total","416","3.829","72.1","24.3","2.2","1.2",".",".","0.2",".",".",".",".",".",".",".",".","."
"Business Law","301
001","392","3.077","9.9","32.7","29.8","20.4","6.1","0.8","0.3",".",".",".",".",".",".",".",".","."
"","302
001","31","3.452","41.9","19.4","29.0","6.5","3.2",".",".",".",".",".",".",".",".",".",".","."
"","302
002","31","3.484","51.6","6.5","29.0","12.9",".",".",".",".",".",".",".",".",".",".",".","."
"Bus Orgs&Negotiable Instrumnts","Course Total","62","3.468","46.8","12.9","29.0","9.7","1.6",".",".",".",".",".",".",".",".",".",".","."
"","306
001","69","3.116","23.2","21.7","24.6","15.9","14.5",".",".",".",".",".",".",".",".",".",".","."
"","306
002","111","3.050","22.5","13.5","31.5","16.2","16.2",".",".",".",".",".",".",".",".",".",".","."
"","306
003","112","3.018","18.8","14.3","34.8","16.1","16.1",".",".",".",".",".",".",".",".",".",".","."
"Business Analytics I","Course Total","292","3.053","21.2","15.8","31.2","16.1","15.8",".",".",".",".",".",".",".",".",".",".","."
"","001
307","84","3.357","29.8","35.7","14.3","16.7","3.6",".",".",".",".",".",".",".",".",".",".","."
"","307
002","74","3.230","20.3","41.9","17.6","14.9","1.4","2.7","1.4",".",".",".",".",".",".",".",".","."
"","003
307","107","3.313","25.2","36.4","24.3","9.3","2.8","0.9","0.9",".",".",".",".",".",".",".",".","."
"","307
004","103","3.442","31.1","39.8","20.4","5.8","1.9","1.0",".",".",".",".",".",".",".",".",".","."
"","307
005","108","3.338","33.3","29.6","15.7","15.7","4.6","0.9",".",".",".",".",".",".",".",".",".","."
"Business Analytics II","Course Total","476","3.341","28.4","36.3","18.7","12.2","2.9","1.1","0.4",".",".",".",".",".",".",".",".","."
"Acctg&Finance - Non-Bus Majors","310
010","233","3.120","11.2","27.5","40.8","14.2","3.9","0.4","0.4","0.9",".",".",".",".",".",".","0.9","."
"Mgmt & Mrktg Non-Bus Majors","311
010","284","3.415","31.7","35.6","20.1","7.0","1.1","0.7","1.1","2.5",".",".",".",".","0.4",".",".","."
"Intercultural Communctn in Bus","320
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Prof Experience in Business","450
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Prof Exp Bus-Extended Intrnshp","451
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Managerial Communication","700
030","54","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Managing Legal Risks","701
001","9","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Prof Experience in Business","750
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","765
030","54","3.593","18.5","81.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","765
030","55","3.573","23.6","67.3","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","Section Total","109","3.583","21.1","74.3","4.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"June 30, 2017","","","","","","","","","","","","","","","","","","","Page 50 of 422"
