"LAW","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"528
LAW","","","","","","","","","","","","","","","","","","","",""
"955
Publ Sect Labor Rel Law Sem","001","","6","0.000",".",".",".",".",".",".",".","16.7",".",".",".",".",".",".",".","."
"988
Select Probs-Envrnmtl Law","001","","11","2.150","27.3","9.1","18.2",".",".",".",".","9.1",".",".",".",".",".",".",".","."
"990","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","007","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","027","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","028","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","033","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","034","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","041","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","049","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","051","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","054","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","056","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","070","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","071","","7","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","082","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","093","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","095","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","096","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","097","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","102","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","121","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","123","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","124","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","125","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","130","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Research","Course Total","","45","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"991","015","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"991","023","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"991","032","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"991","055","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"991","070","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"991","095","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"991","096","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"991","114","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"991","130","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Reading","Course Total","","12","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
