"LATIN (CLASSICS)","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","",""
"524
LATIN","","","","","","","","","","","","","","","","","","","","","","","",""
"","104
001","","14","2.893",".","28.6","42.9","21.4",".","7.1",".",".",".","",".",".","",".","",".","",".",".","."
"","104
002","","8","2.625",".","12.5","62.5","12.5",".",".","12.5",".",".","",".",".","",".","",".","",".",".","."
"","104
003","","13","2.462","15.4","15.4","30.8",".","7.7","23.1","7.7",".",".","",".",".","",".","",".","",".",".","."
"Elementary Latin","Course Total","","35","2.671","5.7","20.0","42.9","11.4","2.9","11.4","5.7",".","",".",".","",".","",".","",".",".",".","."
"Intro to Latin Literature","001
204","","11","3.818","81.8",".","18.2",".",".",".",".",".",".","",".",".","",".","",".","",".",".","."
"Latin Lit of Roman Empire","302
001","","6","3.917","83.3","16.7",".",".",".",".",".",".",".","",".",".","",".","",".","",".",".","."
"Latin:Grad Readng Knowldg I","391
001","","13","3.545","30.8","30.8","23.1",".",".",".",".","15.4",".","",".",".","",".","",".","",".",".","."
"Latin Historical Writers","539
001","","10","3.750","70.0","20.0",".","10.0",".",".",".",".",".","",".",".","",".","",".","",".",".","."
"Directed Study","699
058","","2","***","","","","","","","","","","",".",".","",".","",".","",".",".","."
"LATIN
524","Dept. Total","","77","3.184","37.7","18.2","26.0","6.5","1.3","5.2","2.6","2.6","",".",".","",".","",".","",".",".",".","."
"Summary by Level","","#","","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","",""
"524
LATIN","","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","","9","2.614",".","22.2","44.4","11.1",".","22.2",".",".","",".",".","",".","",".","",".",".",".","."
"Sophomore","","","18","3.261","33.3","22.2","33.3","5.6",".","5.6",".",".","",".",".","",".","",".","",".",".",".","."
"Junior","","","17","2.862","35.3","5.9","29.4","11.8","5.9",".","11.8",".","",".",".","",".","",".","",".",".",".","."
"Senior","","","15","3.500","66.7","13.3","6.7","6.7",".","6.7",".",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","","59","3.094","37.3","15.3","27.1","8.5","1.7","6.8","3.4",".","",".",".","",".","",".","",".",".",".","."
"Graduate","","","18","3.582","38.9","27.8","22.2",".",".",".",".","11.1","",".",".","",".","",".","",".",".",".","."
"","Dept. Total","","77","3.184","37.7","18.2","26.0","6.5","1.3","5.2","2.6","2.6","",".",".","",".","",".","",".",".",".","."
