"","812
044","17","3.382","23.5","29.4","47.1",".","",".",".","",".","",".","",".","",".",".","",".","",".","",".",".","."
"Neuroscience Core Clerkship","Course Total","60","3.458","28.3","33.3","36.7",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","1.7"
"Indep Rdg & Rsch-4th Yr Med","910
044","1","***","","","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"Clin Neurol Clerk-Marshfld","920
002","1","***","","","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"NEUROL
676","Dept. Total","111","3.620","59.5","18.9","19.8","0.9","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","0.9"
"Summary by Level","","#","Ave","A","AB","B","BC","C","","D","","F","","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","","","",""
"676
NEUROL","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","2","***","","","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Junior","","18","3.878","94.4",".",".","5.6","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Senior","","28","3.985","96.4","3.6",".",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","48","3.949","95.8","2.1",".","2.1","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Prof Yr 1","","1","***","","","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Prof Yr 3","","49","3.448","28.6","30.6","38.8",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","2.0"
"Prof Yr 4","","13","3.560","38.5","38.5","23.1",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Professionals","","63","3.475","31.7","31.7","34.9",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","1.6"
"","Dept. Total","111","3.620","59.5","18.9","19.8","0.9","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","0.9"
