"Summary by Level","#","Ave","A","AB","B","BC","C","D","F","","S","U","","CR","N","","P","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"URB R PL","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","1","***","","","","","","","","","","","",".","",".",".",".",".",".","."
"Sophomore","7","3.648","42.9","42.9","14.3",".",".",".","",".",".","",".",".","",".",".",".",".",".","."
"Junior","12","3.585","50.0","16.7","25.0","8.3",".",".","",".",".","",".",".","",".",".",".",".",".","."
"Senior","36","3.521","50.0","25.0","8.3","11.1","2.8","2.8","",".",".","",".",".","",".",".",".",".",".","."
"Undergraduates","56","3.544","48.2","25.0","14.3","8.9","1.8","1.8","",".",".","",".",".","",".",".",".",".",".","."
"Special","2","***","","","","","","","","","","","",".","",".",".","50.0",".",".","."
"Graduate","128","3.837","68.8","17.2","1.6",".","0.8","0.8","",".","9.4","",".",".","",".","0.8","0.8",".",".","."
"Prof Yr 4","1","***","","","","","","","","","","","",".","",".",".",".",".",".","."
"Professionals","1","***","","","","","","","","","","","",".","",".",".",".",".",".","."
