"JOURN AND MASS COMMUNICA Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"512
JOURN","","","","","","","","","","","","","","","","","","","",""
"Intro to Mass Communication","201
001","","393","3.695","56.2","31.0","9.7","1.8","0.8",".","0.3",".","0.3",".",".",".",".",".",".","."
"Mass Communication Practices","202
001","","104","3.466","26.0","42.3","30.8","1.0",".",".",".",".",".",".",".",".",".",".",".","."
"","335
001","","20","3.425","15.0","60.0","20.0","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"","335
002","","20","3.575","45.0","25.0","30.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intermediate Reporting","Course Total","","40","3.500","30.0","42.5","25.0","2.5",".",".",".",".",".",".",".",".",".",".",".","."
"","345
001","","35","3.786","65.7","25.7","8.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
345","","31","3.871","77.4","19.4","3.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Principles & Pract Strat Comm","Course Total","","66","3.826","71.2","22.7","6.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"In-Depth Reporting","401
001","","9","3.667","55.6","33.3",".","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"Multimedia Design","411
001","","20","3.525","40.0","40.0","10.0","5.0","5.0",".",".",".",".",".",".",".",".",".",".","."
"Investigative Reporting","420
001","","13","3.269","38.5","23.1","15.4","15.4",".","7.7",".",".",".",".",".",".",".",".",".","."
"Creative Campaign Messages","445
001","","16","3.969","93.8","6.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Account Planning & Strategy","449
001","","24","3.979","95.8","4.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Public Relations Strategies","464
001","","24","3.646","70.8","12.5","4.2",".","12.5",".",".",".",".",".",".",".",".",".",".","."
"","475
014","","8","3.500","62.5",".","12.5","25.0",".",".",".",".",".",".",".",".",".",".",".","."
"","475
019","","18","3.806","61.1","38.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","475
030","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Spec Topics-Adv Concpts&Skills","Course Total","","33","3.773","69.7","21.2","3.0","6.1",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Survey Research","544
001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Mass Communication&Society","561
001","","67","3.439","29.9","40.3","22.4","4.5",".",".","1.5","1.5",".",".",".",".",".",".",".","."
"Media and the Consumer","564
001","","100","3.438","31.0","27.0","35.0","4.0",".",".",".","3.0",".",".",".",".",".",".",".","."
"Colloquium Prof Comm Careers","601
001","","48","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Communicatn&Public Opinion","614
001","","71","3.764","62.0","26.8","9.9",".",".",".",".",".",".",".",".",".","1.4",".",".","."
"","616
001","","23","3.630","56.5","30.4","4.3",".","8.7",".",".",".",".",".",".",".",".",".",".","."
"","616
002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Mass Media and Youth","Course Total","","24","3.625","54.2","33.3","4.2",".","8.3",".",".",".",".",".",".",".",".",".",".","."
"","618
001","","21","3.450","23.8","38.1","33.3",".",".",".",".","4.8",".",".",".",".",".",".",".","."
"","002
618","","22","3.705","59.1","22.7","18.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Mass Comm & Political Behav","Course Total","","43","3.583","41.9","30.2","25.6",".",".",".",".","2.3",".",".",".",".",".",".",".","."
"","620
001","","18","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","620
002","","19","3.868","73.7","26.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"International Communication","Course Total","","37","3.811","62.2","37.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Literary Aspects of Journ","001
669","","39","3.628","35.9","53.8","10.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics-Mass Communication","676
057","","28","3.714","53.6","39.3","3.6","3.6",".",".",".",".",".",".",".",".",".",".",".","."
"","682
003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","682
021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","Course Total","","2","***","","","","","","","","","","","","","","","",""
"","697
005","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","697
006","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","697
007","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","697
016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","697
076","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","697
077","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"June 30, 2017","","","","","","","","","","","","","","","","","","","Page 251 of 422",""
