"ENGR MECHANICS & ASTRONA","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"346
E M A","","","","","","","","","","","","","","","","","","","",""
"690","007","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"690","035","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Master's Research","Course Total","","6","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"706
Plates,Shells&Pressr Vessel","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"747
Nonlinr&Random Mech Vibratn","001","","8","3.750","62.5",".",".","12.5",".",".",".","12.5",".",".",".",".","12.5",".",".","."
"790","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","007","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"790","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Master's Research and Thesis","Course Total","","4","***","","","","","","","","","","","","","","","",""
"890","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"890","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"890","030","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Pre-Dissertator Research","Course Total","","3","***","","","","","","","","","","","","","","","",""
"990","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","014","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","028","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","Course Total","","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
