"LIBRARY & INFORMATION STUDI Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"544
L I S","","","","","","","","","","","","","","","","","","","",""
"","655
001","","10","3.500","50.0","20.0","20.0",".","10.0",".",".",".",".",".",".",".",".",".",".","."
"","002
655","","16","3.667","50.0","37.5",".",".","6.3",".",".",".",".",".",".",".","6.3",".",".","."
"Collection Management","Course Total","","26","3.600","50.0","30.8","7.7",".","7.7",".",".",".",".",".",".",".","3.8",".",".","."
"Information Ethics and Policy","661
001","","13","3.962","92.3","7.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Digital Curation","668
001","","10","3.900","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Preserv/Conserv-Lib Matls","678
001","","19","3.806","68.4","15.8","10.5",".",".",".",".",".",".",".",".",".","5.3",".",".","."
"The Public Library","712
001","","31","3.968","93.5","6.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","722
001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","722
002","","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"College & Univ Libraries","Course Total","","21","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","751
001","","15","3.833","86.7",".","6.7","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"","751
002","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Database Dsgn-Lib&Info Agency","Course Total","","23","3.891","91.3",".","4.3","4.3",".",".",".",".",".",".",".",".",".",".",".","."
"","001
755","","7","3.714","57.1","28.6","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","755
002","","13","3.923","92.3",".","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Electronic Rsrce Mgt & Licnsng","Course Total","","20","3.850","80.0","10.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Archive Accessioning&Appraisal","818
001","","16","3.719","50.0","43.8","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Fld Project-Lib&Info Literacy","826
001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","855
001","","6","3.750","66.7","16.7","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","855
002","","12","3.292","41.7","16.7","16.7","8.3","16.7",".",".",".",".",".",".",".",".",".",".","."
"Topics-Info Agency Managemt","Course Total","","18","3.444","50.0","16.7","16.7","5.6","11.1",".",".",".",".",".",".",".",".",".",".","."
"Information Architecture","861
001","","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Smr-Info Pol, Mgmt&Institutns","931
001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
014","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","Course Total","","5","***","","","","","","","","","","","","","","","",""
"","999
005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","999
011","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","999
012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","999
013","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","999
014","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","999
015","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","999
016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","999
020","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","999
023","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","999
025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","999
026","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Reading & Rsch","Course Total","","19","3.895","78.9","5.3","5.3",".",".",".",".","5.3",".",".",".",".",".",".","5.3","."
