"CIVIL AND ENVIRONMENTAL EN Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"240
CIV ENGR","","","","","","","","","","","","","","","","","","","",""
"990","074","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","075","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Thesis","Course Total","","25","",".",".",".",".",".",".",".","76.0",".",".",".","24.0",".",".",".","."
"999","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"999","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","033","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","053","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","058","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","061","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"999","062","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"999","069","","7","",".",".",".",".",".",".",".","28.6",".",".",".","71.4",".",".",".","."
"999","075","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Independent Study","Course Total","","21","4.000","42.9",".",".",".",".",".",".","23.8",".",".",".","23.8","9.5",".",".","."
