"NUCLEAR ENGINEERING","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"684
N E","","","","","","","","","","","","","","","","","","","",""
"405
Nuclear Reactor Theory","001","","31","3.117","22.6","25.8","22.6","16.1","6.5",".","3.2",".",".",".",".",".",".","3.2",".","."
"408
Ionizing Radiation","001","","33","3.076","27.3","24.2","21.2","15.2","6.1",".","6.1",".",".",".",".",".",".",".",".","."
"412
Nuclear Reactor Design","001","","30","3.295","46.7","13.3","3.3","23.3","13.3",".",".",".",".",".",".",".",".",".",".","."
"424
Nuclear Materials Laboratory","001","","13","3.769","69.2","15.4","15.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"427
Nuclear Instrumentation Lab","001","","16","3.500","18.8","50.0","18.8",".",".",".",".",".",".",".",".",".","12.5",".",".","."
"428","001","","10","3.444","50.0","10.0","10.0","10.0","10.0",".",".",".",".",".",".",".","10.0",".",".","."
"428","002","","10","3.200","10.0","40.0","40.0",".","10.0",".",".",".",".",".",".",".",".",".",".","."
"Nuclear Reactor Laboratory","Course Total","","20","3.316","30.0","25.0","25.0","5.0","10.0",".",".",".",".",".",".",".","5.0",".",".","."
"506
Monte Carlo Radiatn Transport","001","","28","3.654","53.6","17.9","17.9","3.6",".",".",".",".",".",".",".",".","7.1",".",".","."
"525
Introduction to Plasmas","001","","7","3.000",".","14.3","71.4","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"526
Lab Course in Plasmas","001","","13","3.615","23.1","76.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"527
Plasma Confinement&Heating","001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"569
Health Phys and Bio Effects","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"571
Econ&Envr Aspect-Nuc Energy","001","","26","3.304","26.9","15.4","34.6","7.7","3.8",".",".","3.8",".",".",".",".","7.7",".",".","."
"602
Special Topics-Reactor Engr","001","","13","3.542","30.8","38.5","23.1",".",".",".",".","7.7",".",".",".",".",".",".",".","."
"699","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","014","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","035","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Independent Study","Course Total","","4","***","","","","","","","","","","","","","","","",""
"726
Plasma Magnetohydrodynamics","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"790","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","007","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"790","010","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"790","018","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"790","029","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","035","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Master's Research & Thesis","Course Total","","10","",".",".",".",".",".",".",".","30.0",".",".",".","70.0",".",".",".","."
"890","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"890","009","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"890","010","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"890","013","","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"890","014","","6","",".",".",".",".",".",".",".",".",".",".",".","100.0",".",".",".","."
"890","015","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"890","016","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"890","018","","9","",".",".",".",".",".",".",".",".",".",".",".","100.0",".",".",".","."
"890","022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"890","029","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"890","032","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"890","035","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"890","060","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"890","068","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Pre-Dissertator's Research","Course Total","","45","",".",".",".",".",".",".",".","37.8",".",".",".","62.2",".",".",".","."
"922
Seminar in Plasma Physics","001","","7","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
