"ELECTRICAL AND COMPUTER E Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"320
E C E","","","","","","","","","","","","","","","","","","",""
"Cooperative Education Prog","1
001","23","3.909","91.3",".",".",".","4.3",".",".",".",".",".",".",".","4.3",".",".","."
"Signals, Information & Comp","203
001","102","2.725","11.8","13.7","23.5","27.5","15.7","6.9","1.0",".",".",".",".",".",".",".",".","."
"","210
001","23","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","210
002","24","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","210
003","24","3.979","95.8","4.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","210
004","23","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","210
005","23","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","210
006","24","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","210
007","24","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","210
008","22","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro Electrical Engr","Course Total","187","3.997","99.5","0.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Analytical Methods for EM Engr","219
001","118","3.907","87.3","8.5","3.4",".","0.8",".",".",".",".",".",".",".",".",".",".","."
"Electrodynamics I","220
001","85","3.226","23.5","25.9","29.4","11.8","8.2",".",".","1.2",".",".",".",".",".",".",".","."
"Circuit Analysis","230
001","108","3.389","38.9","30.6","13.0","10.2","5.6","0.9","0.9",".",".",".",".",".",".",".",".","."
"Intro-Solid State Electronics","235
001","40","3.238","40.0","12.5","7.5","35.0","5.0",".",".",".",".",".",".",".",".",".",".","."
"","252
001","76","3.296","30.3","34.2","18.4","6.6","6.6","3.9",".",".",".",".",".",".",".",".",".","."
"","252
002","14","3.714","50.0","42.9","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","252
003","38","3.566","55.3","13.2","23.7","5.3","2.6",".",".",".",".",".",".",".",".",".",".","."
"Intro to Computer Engineering","Course Total","128","3.422","39.8","28.9","18.8","5.5","4.7","2.3",".",".",".",".",".",".",".",".",".","."
"","270
001","38","3.789","65.8","26.3","7.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
270","60","3.833","73.3","21.7","3.3","1.7",".",".",".",".",".",".",".",".",".",".",".","."
"Circuits Laboratory I","Course Total","98","3.816","70.4","23.5","5.1","1.0",".",".",".",".",".",".",".",".",".",".",".","."
"","271
001","18","2.639","22.2","16.7","16.7","22.2",".","11.1","11.1",".",".",".",".",".",".",".",".","."
"","002
271","31","2.710","6.5","41.9","12.9","9.7","16.1","3.2","9.7",".",".",".",".",".",".",".",".","."
"Circuits Laboratory II","Course Total","49","2.684","12.2","32.7","14.3","14.3","10.2","6.1","10.2",".",".",".",".",".",".",".",".","."
"Intro to Real-Time DSP","303
001","18","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Electric Machines Lab","304
001","13","3.423","23.1","53.8","15.4",".","7.7",".",".",".",".",".",".",".",".",".",".","."
"Semiconductr Properties Lab","305
001","10","3.650","60.0","20.0","10.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"Linear Active Circuits Lab","306
001","14","3.857","71.4","28.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Nonlinear Elec Circuits Lab","308
001","11","3.773","63.6","27.3","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","313
001","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","313
003","11","3.955","90.9","9.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Optoelectronics Lab","Course Total","19","3.974","94.7","5.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","315
001","30","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","315
002","22","3.932","86.4","13.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro Microprocessor Lab","Course Total","52","3.971","94.2","5.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","317
001","13","3.769","69.2","23.1",".","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"","317
002","16","3.938","93.8",".","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Sensors Laboratory","Course Total","29","3.862","82.8","10.3","3.4","3.4",".",".",".",".",".",".",".",".",".",".",".","."
"Signals and Systems","330
001","81","3.494","58.0","7.4","16.0","12.3","6.2",".",".",".",".",".",".",".",".",".",".","."
"State Space System Analysis","334
001","19","3.684","52.6","42.1",".",".","5.3",".",".",".",".",".",".",".",".",".",".","."
"Microelectronic Devices","335
001","36","3.319","36.1","11.1","38.9","8.3","5.6",".",".",".",".",".",".",".",".",".",".","."
"Electronic Circuits I","340
001","101","3.115","22.8","17.8","27.7","22.8","6.9","1.0",".",".",".",".",".",".",".","1.0",".","."
"June 30, 2017","","","","","","","","","","","","","","","","","","Page 120 of 422",""
