"","","","","","","","(Non-Cross Listed)","","","","","","","","","","","",""
"ALS","","","","","","","","","","","","","","","","","","",""
"ALS","College Total","10552","3.313","41.1","16.1","17.1","6.6","6.9","1.6","0.8","5.6","0.0","1.2","0.0","2.3","0.4","0.0","0.2","0.0"
"Summary by College/School","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"ALS","","Grades","GPA","","","","","","","","","","","","","","","",""
"Freshmen","","357","3.066","30.0","20.4","18.2","12.0","11.8","3.1","0.8",".",".","3.6",".",".",".",".",".","."
"Sophomore","","1093","3.280","41.8","17.9","19.0","7.3","9.0","1.6","0.8",".",".","2.2",".",".","0.3",".",".","."
"Junior","","2121","3.203","38.0","16.5","21.7","8.5","10.1","2.4","1.1","0.1",".","1.0",".","0.0","0.1",".","0.3","."
"Senior","","4853","3.314","43.7","18.4","19.4","7.4","7.5","1.8","0.9","0.2",".","0.2",".",".","0.4","0.1","0.0","0.1"
"Undergraduates","","8424","3.271","41.5","17.9","19.9","7.8","8.5","2.0","0.9","0.1",".","0.8",".","0.0","0.3","0.0","0.1","0.0"
"Special","","251","3.470","45.8","17.9","15.9","5.2","3.2",".","0.8","8.0",".","0.4",".",".","0.8",".","2.0","."
"Graduate","","1873","3.725","38.8","7.3","4.9","1.0","0.3","0.1",".","30.4","0.1","3.2","0.1","13.0","0.6",".","0.2","."
"Prof Yr 1","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Prof Yr 2","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Prof Yr 3","","3","***","","","","","","","","","",".",".",".","66.7",".",".","."
"Prof Yr 4","","6","3.250","33.3","16.7",".","16.7",".",".",".","33.3",".",".",".",".",".",".",".","."
"Professionals","","11","3.500","36.4","18.2",".","9.1",".",".",".","18.2",".",".",".",".","18.2",".",".","."
"","College Total","10559","3.313","41.1","16.1","17.1","6.6","6.9","1.6","0.8","5.7","0.0","1.2","0.0","2.3","0.4","0.0","0.2","0.0"
