"STATISTICS","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"932
STAT","","","","","","","","","","","","","","","","","","","",""
"431","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro-Theory of Probability","Course Total","","4","***","","","","","","","","","","","","","","","",""
"475
Intro-Combinatorics","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"479","001","","45","3.700","64.4","24.4","8.9",".",".",".","2.2",".",".",".",".",".",".",".",".","."
"479","002","","33","3.955","90.9","9.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Spec Topics in Stats","Course Total","","78","3.808","75.6","17.9","5.1",".",".",".","1.3",".",".",".",".",".",".",".",".","."
"525
Linear Programming Methods","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"542
Intro to Clinical Trials I","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"572
Stat Meth for Bioscience II","001","","63","3.435","25.4","34.9","38.1",".",".",".",".","1.6",".",".",".",".",".",".",".","."
"602
Statistical Methods II","001","","47","3.574","34.0","46.8","19.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"610","001","","18","3.472","22.2","55.6","16.7","5.6",".",".",".",".",".",".",".",".",".",".",".","."
"610","002","","47","3.415","27.7","29.8","40.4","2.1",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Statistical Inference","Course Total","","65","3.431","26.2","36.9","33.8","3.1",".",".",".",".",".",".",".",".",".",".",".","."
"632
Intro-Stochastic Processes","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"641
Stat Mthds for Clin Trials","001","","16","3.688","68.8","6.3","18.8","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"679","001","","21","3.881","76.2","23.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"679","002","","44","3.943","88.6","11.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics in Statistics","Course Total","","65","3.923","84.6","15.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"682","038","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"682","043","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","102","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","Course Total","","4","***","","","","","","","","","","","","","","","",""
"698","114","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"698","299","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","6","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"699","038","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","070","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","262","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","299","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"710
Mathematical Statistics","001","","24","3.625","41.7","41.7","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"734
Theory of Probability II","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"761
Decision Trees-Multivar Anal","001","","24","3.957","91.7",".","4.2",".",".",".",".","4.2",".",".",".",".",".",".",".","."
"775
Intro-Bayesian Decisn&Cntrl","001","","25","3.604","48.0","28.0","16.0",".","4.0",".",".","4.0",".",".",".",".",".",".",".","."
"803
Experimental Design I","001","","13","3.962","92.3","7.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"833
Topics in Probability","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"850
Thry&Appl-Regres&Anal VarII","001","","28","3.679","57.1","21.4","21.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"877
Statistical Methods-Molec Biol","001","","14","4.000","92.9",".",".",".",".",".",".","7.1",".",".",".",".",".",".",".","."
"990","043","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","044","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","046","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","068","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","070","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"June 30, 2017","","","","","","","","","","","","","","","","","","","Page 324 of 422",""
