"Summary by Level","#","Ave","A","AB","B","BC","C","D","F","","S","U","","CR","N","","P","","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"COMP BIO","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","3","***","","","","","","","","","","","",".","",".","",".",".",".",".","."
"Junior","11","4.000","100.0",".",".",".",".",".","",".",".","",".",".","",".","",".",".",".",".","."
"Senior","10","3.929","90.0","10.0",".",".",".",".","",".",".","",".",".","",".","",".",".",".",".","."
"Undergraduates","24","3.969","95.8","4.2",".",".",".",".","",".",".","",".",".","",".","",".",".",".",".","."
"Graduate","17","3.500",".","5.9",".",".",".",".","",".","94.1","",".",".","",".","",".",".",".",".","."
"Prof Yr 1","356","3.379","36.5","21.6","30.3","5.6","5.1","0.8","",".",".","",".",".","",".","",".",".",".",".","."
"Prof Yr 2","169","3.154","21.9","21.3","30.8","11.8","13.0",".","",".","0.6","",".",".","",".","",".","0.6",".",".","."
"Prof Yr 4","28","",".",".",".",".",".",".","",".","96.4","",".",".","",".","",".",".",".","3.6","."
"Professionals","553","3.307","30.2","20.4","28.9","7.2","7.2","0.5","",".","5.1","",".",".","",".","",".","0.2",".","0.2","."
