"ENVIR ST - GAYLORD NELSON I","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"360
ENVIR ST","","","","","","","","","","","","","","","","","","","",""
"Ecology of Fishes","510
001","","34","3.132","26.5","5.9","55.9","2.9","5.9",".","2.9",".",".",".",".",".",".",".",".","."
"","511
001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","511
002","","6","3.583","50.0","33.3",".","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"Ecology of Fishes Lab","Course Total","","11","3.591","45.5","36.4","9.1","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"Natural Resources Policy","515
001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Culture and Environment","537
001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","600
001","","15","3.733","93.3",".",".",".",".",".","6.7",".",".",".",".",".",".",".",".","."
"","600
002","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","600
003","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","600
004","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","005
600","","16","3.781","81.3","6.3","6.3",".","6.3",".",".",".",".",".",".",".",".",".",".","."
"","006
600","","18","2.889","22.2","11.1","33.3","11.1","16.7",".","5.6",".",".",".",".",".",".",".",".","."
"Envir Studies Major Capstone","Course Total","","85","3.676","78.8","3.5","8.2","2.4","4.7",".","2.4",".",".",".",".",".",".",".",".","."
"Decisn Meth-Nat Resrc Mangr","652
001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Energy Economics","671
001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Applictn of GIS:Natrl Rsrcs","695
001","","14","3.429","35.7","28.6","21.4","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"","699
001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
040","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
053","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
055","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
074","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
091","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
104","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","14","3.940","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Chall & Solu in Bus Sustain","710
001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Water Res Mgt Pract Pl Smr II","718
001","","14","3.821","64.3","35.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Hlth Impact of Global Envr Chg","740
001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Energy Analysis Seminar","810
001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Global Environmentl Governance","866
001","","11","3.727","45.5","54.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","900
001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","900
002","","10","3.450","30.0","30.0","40.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","900
003","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","900
004","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Seminar","Course Total","","29","3.801","75.9","10.3","13.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Limnology & Marine Sci Seminar","911
001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"CHE Methods Seminar","922
001","","8","3.875","87.5",".","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Conservation of Biodiversity","951
001","","26","3.904","80.8","19.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","978
001","","16","3.321","25.0","37.5","6.3","6.3","12.5",".",".",".",".",".",".",".",".",".","12.5","."
"","978
002","","12","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","978
004","","18","3.528","44.4","22.2","27.8","5.6",".",".",".",".",".",".",".",".",".",".",".","."
"","978
005","","11","3.722","45.5","27.3","9.1",".",".",".",".","18.2",".",".",".",".",".",".",".","."
"","978
006","","18","3.750","55.6","38.9","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","978
007","","8","3.688","50.0","37.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
