"HISTORY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"448
HISTORY","","","","","","","","","","","","","","","","","","","",""
"682","039","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"682","041","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"682","047","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","053","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","055","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","063","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","Course Total","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"690
Thesis Colloquium","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"692","017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"692","028","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Thesis","Course Total","","2","***","","","","","","","","","","","","","","","",""
"699","019","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","029","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","057","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","059","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","060","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","063","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","064","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","066","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"699","100","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","16","4.000","87.5",".",".",".",".",".",".",".",".",".",".",".","6.3",".","6.3","."
"705
Topics in Global History","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"710","001","","7","4.000","85.7",".",".",".",".",".",".",".",".",".",".",".","14.3",".",".","."
"710","003","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Professional Development Sem","Course Total","","14","4.000","92.9",".",".",".",".",".",".",".",".",".",".",".","7.1",".",".","."
"713
Hist: Higher Ed-Europe&Amer","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"801","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"801","002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Seminar-Ancient History","Course Total","","6","3.417","16.7","50.0","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"845
Smr-Central European Hist","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"857
Smr-Hist of India (S Asia)","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"861
Seminar-History of Africa","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"891","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"891","002","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Prosem-Mod European History","Course Total","","9","3.788","66.7","22.2","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"901","001","","8","4.000","87.5",".",".",".",".",".",".",".",".",".",".",".","12.5",".",".","."
"901","002","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Studies in American History","Course Total","","17","4.000","94.1",".",".",".",".",".",".",".",".",".",".",".","5.9",".",".","."
"910
History of Colonial N America","001","","8","3.929","75.0","12.5",".",".",".",".",".",".",".",".",".",".","12.5",".",".","."
"943
Race & Nationalism","001","","12","3.727","41.7","50.0",".",".",".",".",".",".",".",".",".",".","8.3",".",".","."
"978
Undergraduate Pedagogy","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","009","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","012","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"June 30, 2017","","","","","","","","","","","","","","","","","","","Page 239 of 422",""
