"LINGUISTICS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"550
LINGUIS","","","","","","","","","","","","","","","","","","",""
"Human Language","101
001","182","3.448","50.0","24.2","10.4","6.0","6.0","1.6","1.6",".",".",".",".",".",".",".",".","."
"Language & Immigration in Wisc","237
001","21","3.974","85.7","4.8",".",".",".",".",".",".",".",".",".",".","9.5",".",".","."
"Intro Ling-Descript&Theoret","301
001","27","3.204","33.3","29.6","11.1","18.5",".","3.7","3.7",".",".",".",".",".",".",".",".","."
"Language, History, and Society","303
001","16","3.700","56.3","18.8","18.8",".",".",".",".",".",".",".",".",".","6.3",".",".","."
"Grammatcl Variablty-Languag","309
001","12","3.667","91.7",".",".",".",".",".","8.3",".",".",".",".",".",".",".",".","."
"Morphology","322
001","23","2.841","39.1","13.0","4.3","8.7","8.7","17.4","4.3",".",".",".",".",".",".","4.3",".","."
"Field Methods II","427
001","8","3.571","50.0",".","37.5",".",".",".",".",".",".",".",".",".","12.5",".",".","."
"Syntactic Theories","530
001","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics-Phonological Theory","610
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Honors Seminar-Sr Thesis","682
022","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
013","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
038","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Thesis","Course Total","3","***","","","","","","","","","","","","","","","",""
"Independent Reading","999
013","1","***","","","","","","","","","",".",".",".",".",".",".","."
"LINGUIS
550","Dept. Total","310","3.465","53.5","19.4","9.7","5.8","4.2","2.6","1.9","0.6",".",".",".","0.6","1.3","0.3",".","."
