"FOREST AND WILDLIFE ECOLO","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"396
F&W ECOL","","","","","","","","","","","","","","","","","","","",""
"248
Envir, Nat Resources & Society","001","","10","3.500","40.0","20.0","40.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"299","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","026","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"299","030","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"299","037","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","044","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"299","052","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","054","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","13","3.981","92.3","7.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"300
Forest Biometry","001","","11","3.318","36.4","18.2","27.3","9.1","9.1",".",".",".",".",".",".",".",".",".",".","."
"306
Terr Vertbrt:Life Hist&Ecol","001","","53","3.066","18.9","30.2","18.9","13.2","17.0","1.9",".",".",".",".",".",".",".",".",".","."
"375
Special Topics","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"379
Princ-Wildlife Management","001","","29","2.893","20.7","20.7","20.7",".","27.6","6.9",".","3.4",".",".",".",".",".",".",".","."
"410
Principles of Silviculture","001","","27","3.259","29.6","22.2","25.9","14.8","7.4",".",".",".",".",".",".",".",".",".",".","."
"411
Practices of Silviculture","001","","17","3.824","76.5","11.8","11.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"460
General Ecology","001","","8","3.125","12.5","37.5","25.0","12.5","12.5",".",".",".",".",".",".",".",".",".",".","."
"501
Forest Fire Behavior & Mgmt","002","","16","3.867","81.3",".","12.5",".",".",".",".","6.3",".",".",".",".",".",".",".","."
"515
Natural Resources Policy","001","","24","3.159","12.5","25.0","33.3","20.8",".",".",".","8.3",".",".",".",".",".",".",".","."
"520
Ornithology","001","","7","3.167",".","28.6","57.1",".",".",".",".",".",".",".",".",".","14.3",".",".","."
"521","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"521","002","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"521","003","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Birds of Southern Wisconsin","Course Total","","12","3.375","41.7","25.0","8.3","16.7","8.3",".",".",".",".",".",".",".",".",".",".","."
"531
Natural Resource Economics","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"565
Principles-Landscape Ecology","001","","12","3.375","66.7",".","16.7","8.3",".",".","8.3",".",".",".",".",".",".",".",".","."
"572
Stat Meth for Bioscience II","001","","12","3.708","50.0","41.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"652
Decisn Meth-Nat Resrc Mangr","001","","15","3.167","6.7","40.0","33.3","20.0",".",".",".",".",".",".",".",".",".",".",".","."
"655
Animal Population Dynamics","001","","30","3.333","23.3","36.7","23.3","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"675
Prof Develop-Forest/Wildlife","002","","30","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"682
Senior Honors Thesis","046","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"692
Senior Thesis","052","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","026","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","032","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","044","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","052","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems","Course Total","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"799","048","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","060","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Practicm-Forestry&Wl Ecol Tchg","Course Total","","2","***","","","","","","","","","","","","","","","",""
"875","001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"875","002","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"875","003","","13","3.962","92.3","7.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"June 30, 2017","","","","","","","","","","","","","","","","","","","","Page 23 of 422"
