"BUS","","","","","","","","","","","","","","","","","","",""
"REAL ESTATE & URBAN LAND E Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"239
REAL EST","","","","","","","","","","","","","","","","","","",""
"","306
001","145","3.189","14.5","31.7","35.2","12.4","4.1","0.7",".","0.7",".",".",".",".",".",".","0.7","."
"","306
002","54","3.185","22.2","16.7","40.7","16.7","3.7",".",".",".",".",".",".",".",".",".",".","."
"The Real Estate Process","Course Total","199","3.188","16.6","27.6","36.7","13.6","4.0","0.5",".","0.5",".",".",".",".",".",".","0.5","."
"Real Estate Law","001
312","58","3.319","29.3","31.0","29.3","1.7","5.2","3.4",".",".",".",".",".",".",".",".",".","."
"","365
002","37","3.514","43.2","29.7","16.2","8.1","2.7",".",".",".",".",".",".",".",".",".",".","."
"","003
365","28","3.589","42.9","35.7","17.9","3.6",".",".",".",".",".",".",".",".",".",".",".","."
"","365
004","48","3.427","37.5","33.3","16.7","10.4",".",".","2.1",".",".",".",".",".",".",".",".","."
"Contemporary Topics","Course Total","113","3.496","40.7","32.7","16.8","8.0","0.9",".","0.9",".",".",".",".",".",".",".",".","."
"","410
001","17","3.206","23.5","41.2","5.9","11.8","17.6",".",".",".",".",".",".",".",".",".",".","."
"","410
002","25","3.180","32.0","24.0","24.0","4.0","12.0",".","4.0",".",".",".",".",".",".",".",".","."
"Real Estate Finance","Course Total","42","3.190","28.6","31.0","16.7","7.1","14.3",".","2.4",".",".",".",".",".",".",".",".","."
"","415
001","37","3.389","32.4","35.1","13.5","8.1","8.1",".",".",".",".",".",".",".","2.7",".",".","."
"","415
002","35","3.286","28.6","25.7","28.6","8.6","8.6",".",".",".",".",".",".",".",".",".",".","."
"Valuation of Real Estate","Course Total","72","3.338","30.6","30.6","20.8","8.3","8.3",".",".",".",".",".",".",".","1.4",".",".","."
"","420
001","28","3.321","28.6","32.1","21.4","10.7","7.1",".",".",".",".",".",".",".",".",".",".","."
"","420
002","25","3.020","24.0","16.0","24.0","20.0","12.0","4.0",".",".",".",".",".",".",".",".",".","."
"","420
003","15","2.967","26.7","13.3","20.0","20.0","13.3","6.7",".",".",".",".",".",".",".",".",".","."
"Urban & Regional Economics","Course Total","68","3.132","26.5","22.1","22.1","16.2","10.3","2.9",".",".",".",".",".",".",".",".",".","."
"Community Economic Analysis","520
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Residentl Property Devlpmnt","611
001","54","3.611","40.7","48.1","7.4",".","3.7",".",".",".",".",".",".",".",".",".",".","."
"Green-Sustainable Development","651
001","15","3.700","60.0","20.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"RE Investment Analysis","661
001","26","3.538","38.5","38.5","15.4","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"The Real Estate Process","706
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Techniques-Real Est Valuatn","715
001","15","3.667","46.7","40.0","13.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Real Estate Equity Investmt","740
001","11","3.773","54.5","45.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
765","14","3.714","57.1","28.6","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","765
003","14","3.750","57.1","35.7","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","765
004","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","765
005","9","3.722","66.7","22.2",".","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"","765
006","9","3.688","55.6","22.2",".","11.1",".",".",".",".",".",".",".",".",".","11.1",".","."
"","765
007","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","765
009","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","010
765","14","3.679","50.0","35.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contemporary Topics","Course Total","81","3.778","65.4","24.7","6.2","2.5",".",".",".",".",".",".",".",".",".","1.2",".","."
"","799
013","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","799
028","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Rdg & Rsch-Urban Land Econ","Course Total","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
