"MEDICINE","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"632
MEDICINE","","","","","","","","","","","","","","","","","","","",""
"650
Women&Leadershp-Med, Sci, Engr","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","002","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"699","004","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","006","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","007","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","011","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","020","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","021","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","022","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","023","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","102","","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","103","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","163","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","169","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","179","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","183","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","184","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","189","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","190","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"699","195","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","204","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","205","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","207","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","214","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","215","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","216","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","218","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"699","222","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","225","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","229","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","230","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","231","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"699","236","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","238","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","241","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","242","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","243","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","244","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","249","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","250","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","253","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","254","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","255","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"June 30, 2017","","","","","","","","","","","","","","","","","","","Page 361 of 422",""
