"Summary by Level","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"MARKETNG","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","2","***","","","","","","","","","","",".","",".",".","",".",".",".","."
"Sophomore","136","3.132","16.2","29.4","31.6","16.2","4.4","1.5","0.7",".","",".",".","",".",".","",".",".",".","."
"Junior","378","3.433","30.7","37.8","24.1","4.0","2.9","0.3","0.3",".","",".",".","",".",".","",".",".",".","."
"Senior","783","3.414","33.3","31.9","24.0","7.4","2.4","0.6","0.1","0.1","",".",".","",".",".","",".",".",".","."
"Undergraduates","1299","3.389","30.7","33.3","24.9","7.4","2.8","0.6","0.2","0.1","",".",".","",".",".","",".",".",".","."
"Special","40","3.000","12.5","27.5","30.0","12.5","15.0","2.5",".",".","",".",".","",".",".","",".",".",".","."
"Graduate","464","3.681","63.6","19.2","13.6","1.3","0.6",".",".","1.3","",".",".","",".","0.4","",".",".",".","."
"Prof Yr 3","2","***","","","","","","","","","","",".","",".",".","",".",".",".","."
"Professionals","2","***","","","","","","","","","","",".","",".",".","",".",".",".","."
