"","990
035","4","***","","","","","","","","","","",".",".","",".",".",".",".","."
"","990
036","4","***","","","","","","","","","","",".",".","",".",".",".",".","."
"Research","Course Total","56","",".",".",".",".",".",".",".","64.3","",".",".","",".","35.7",".",".",".","."
"Adv Independent Reading","999
034","1","***","","","","","","","","","","",".",".","",".",".",".",".","."
"GEOSCI
420","Dept. Total","1496","3.169","27.7","20.3","24.1","9.4","8.6","2.8","1.1","4.3","",".",".","",".","1.3","0.3",".","0.2","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"420
GEOSCI","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","167","3.103","26.9","17.4","28.7","14.4","8.4","3.6","0.6",".","",".",".","",".",".",".",".",".","."
"Sophomore","","354","3.181","27.7","23.2","27.4","10.5","8.2","1.7","0.8",".","",".",".","",".",".","0.6",".",".","."
"Junior","","359","3.123","26.2","23.1","25.9","8.1","12.0","2.2","1.9","0.3","",".",".","",".",".","0.3",".",".","."
"Senior","","495","3.181","29.7","21.0","24.0","10.1","8.1","4.2","1.0","1.2","",".",".","",".",".","0.4",".","0.2","."
"Undergraduates","","1375","3.155","27.9","21.7","26.0","10.2","9.2","3.0","1.2","0.5","",".",".","",".",".","0.4",".","0.1","."
"Special","","24","3.524","20.8",".","8.3",".","4.2",".",".","58.3","",".",".","",".",".",".",".","8.3","."
"Graduate","","97","3.725","25.8","5.2","1.0",".","1.0","1.0",".","45.4","",".",".","",".","20.6",".",".",".","."
"","Dept. Total","1496","3.169","27.7","20.3","24.1","9.4","8.6","2.8","1.1","4.3","",".",".","",".","1.3","0.3",".","0.2","."
