"BOTANY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"208
BOTANY","","","","","","","","","","","","","","","","","","","",""
"698
Directed Study","034","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","003","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","005","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","012","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","020","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","021","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","028","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","029","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","030","","6","3.769","83.3",".",".","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"699","031","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","032","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","034","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","035","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","036","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","041","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","29","3.948","93.1",".",".","3.4",".",".",".",".",".",".",".",".","3.4",".",".","."
"725
Ecosystem Concepts","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"801
Adv Plant Community Ecology","001","","8","4.000","87.5",".",".",".",".",".",".","12.5",".",".",".",".",".",".",".","."
"930
Seminar-Mycology","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"940
Smr-Plant Systematics&Evolutn","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"941
Plant Taxonomy Journ Review","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"950
Seminar-Plant Ecology","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"951","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"951","034","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Plant Ecology Journl Review","Course Total","","3","***","","","","","","","","","","","","","","","",""
"960
Seminar-Plant Physiology","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990
Research-Phycology","028","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"993
Research-Mycology","035","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"994","003","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"994","005","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"994","024","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"994","029","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"994","031","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Research-Plant Systematics","Course Total","","15","",".",".",".",".",".",".",".","60.0",".",".",".","40.0",".",".",".","."
"995","012","","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"995","020","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"995","024","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"995","029","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"995","034","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"995","036","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Research-Plant Ecology","Course Total","","14","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"996","021","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"996","025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"June 30, 2017","","","","","","","","","","","","","","","","","","","Page 180 of 422",""
