"Summary by Level","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","",""
"GENETICS","","","","","","","","","","","","","","","","","","","",""
"Freshmen","5","***","","","","","","","","","","",".","",".",".",".",".",".","."
"Sophomore","52","3.291","40.4","7.7","38.5","3.8","9.6",".",".",".","",".",".","",".",".",".",".",".","."
"Junior","158","3.189","39.9","10.8","27.2","7.0","11.4","3.2","0.6",".","",".",".","",".",".",".",".",".","."
"Senior","405","3.476","56.5","11.4","20.2","4.4","4.0","1.5","1.7",".","",".",".","",".",".","0.2",".",".","."
"Undergraduates","620","3.384","50.6","11.0","23.7","5.2","6.3","1.8","1.3",".","",".",".","",".",".","0.2",".",".","."
"Special","119","3.451","48.7","19.3","19.3","6.7","3.4",".",".","0.8","",".",".","",".",".","1.7",".",".","."
"Graduate","108","3.815","28.7","3.7","6.5",".",".",".",".","49.1","",".",".","",".","11.1",".",".","0.9","."
"Prof Yr 1","1","***","","","","","","","","","","",".","",".",".",".",".",".","."
"Prof Yr 4","1","***","","","","","","","","","","",".","",".",".",".",".",".","."
"Professionals","2","***","","","","","","","","","","",".","",".",".",".",".",".","."
