"LANG & CULTURES OF ASIA - LA Section","","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","","GPA","","","","","","","","","","","","","","","",""
"522
LCA LANG","","","","","","","","","","","","","","","","","","","","",""
"Second Semester Filipino","306","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Second Semester Hmong","308","001","","15","3.467","40.0","13.3","46.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","310","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","310","002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Second Semester Indonesian","","Course Total","","7","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Second Semester Thai","318","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Second Semester Vietnamese","320","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Second Semester Arabic","322","003","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Fourth Semester Arabic","324","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Second Semester Turkish","340","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Second Semester Hindi","354","001","","10","3.950","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","364","001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","364","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Second Semester Persian","","Course Total","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Second Semester Modern Tibetan","370","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Second Semester Urdu","372","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Fourth Semester Burmese","404","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Fourth Semester Filipino","406","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Fourth Semester Hmong","408","001","","14","3.714","92.9",".",".",".",".",".","7.1",".",".",".",".",".",".",".",".","."
"Fourth Semester Indonesian","410","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Fourth Semester Thai","418","001","","6","3.700","50.0","16.7","16.7",".",".",".",".","16.7",".",".",".",".",".",".",".","."
"Fourth Semester Vietnamese","420","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Fourth Semester Turkish","440","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Fourth Semester Hindi","454","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Fourth Semester Persian","464","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Fourth Semester Urdu","472","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Sixth Semester Burmese","504","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Sixth Semester Hmong","508","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Sixth Semester Indonesian","510","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Sixth Semester Thai","518","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Sixth Semester Vietnamese","520","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Sixth Semester Turkish & Azeri","540","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Sixth Semester Hindi","554","001","","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Sixth Semester Persian","564","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","602","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","602","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","602","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"8th Semester Asian Language","","Course Total","","5","***","","","","","","","","","","","","","","","",""
