"AGRONOMY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"132
AGRONOMY","","","","","","","","","","","","","","","","","","","",""
"203
Introduction to Global Health","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"299
Independent Study","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"300
Cropping Systems","001","","36","3.686","58.3","19.4","16.7","2.8",".",".",".","2.8",".",".",".",".",".",".",".","."
"326
Plant Nutrition Management","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"338
Plant Breeding&Biotechnolgy","001","","35","3.043","40.0","2.9","28.6","5.7","14.3","5.7","2.9",".",".",".",".",".",".",".",".","."
"340
Plant Cell Cult. & Genet. Eng.","001","","11","3.227","27.3","18.2","36.4","9.1","9.1",".",".",".",".",".",".",".",".",".",".","."
"350
World Hunger & Malnutrition","001","","54","3.500","48.1","27.8","16.7","1.9","1.9","1.9","1.9",".",".",".",".",".",".",".",".","."
"354
Diag Nutrient/Pest of Crops","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"360
GM Crops:Sci,Reg,Controversy","001","","17","2.735","23.5","23.5","17.6","5.9","11.8","5.9","11.8",".",".",".",".",".",".",".",".","."
"375
Special Topics","002","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"377
Cropping Systems-Tropics","001","","11","3.545","54.5","18.2","18.2",".","9.1",".",".",".",".",".",".",".",".",".",".","."
"500
Senior Capstone Experience","001","","22","3.905","77.3","18.2",".",".",".",".",".",".",".",".",".",".","4.5",".",".","."
"501
Principles-Plant Breeding","001","","6","3.333","16.7","66.7",".",".","16.7",".",".",".",".",".",".",".",".",".",".","."
"502
Techniques-Plant Breeding","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"565
Ethics of Modern Biotechnology","001","","7","3.357","42.9","14.3","14.3","28.6",".",".",".",".",".",".",".",".",".",".",".","."
"699","004","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","007","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems","Course Total","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"771
Experimental Designs","002","","15","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"772
Applications in ANOVA","001","","15","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"799","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Practicum-Agronomy Teaching","Course Total","","3","***","","","","","","","","","","","","","","","",""
"875","001","","6","3.900","66.7","16.7",".",".",".",".",".","16.7",".",".",".",".",".",".",".","."
"875","003","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Topics","Course Total","","11","3.933","81.8","9.1",".",".",".",".",".","9.1",".",".",".",".",".",".",".","."
"920
Seminar","001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"957
Seminar-Plant Breeding","001","","8","3.688","62.5","12.5","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","007","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","013","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","014","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","019","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","020","","8","",".",".",".",".",".",".",".","12.5",".",".",".","87.5",".",".",".","."
"990","022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"June 30, 2017","","","","","","","","","","","","","","","","","","","","Page 8 of 422"
