"INTERNATIONAL STUDIES","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"504
INTL ST","","","","","","","","","","","","","","","","","","","",""
"101
Intro to International Studies","001","","88","3.227","26.1","30.7","20.5","14.8","5.7","1.1","1.1",".",".",".",".",".",".",".",".","."
"310","001","","8","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"310","003","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"310","007","","7","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"310","009","","8","",".",".",".",".",".",".",".",".",".",".",".",".",".",".","100.0","."
"310","011","","11","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"310","015","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"310","020","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"310","025","","8","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"310","026","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"310","028","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"310","031","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Internl Learning Community Smr","Course Total","","59","",".",".",".",".",".",".",".",".",".","84.7","1.7",".",".",".","13.6","."
"320","001","","19","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"320","002","","17","3.941","94.1",".","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contemporary Issues-Intl St","Course Total","","36","3.982","97.2",".","2.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"335
Globalization and Education","001","","7","2.929","28.6",".","14.3","42.9","14.3",".",".",".",".",".",".",".",".",".",".","."
"373
Globalizatn, Poverty&Develpmnt","001","","17","3.294","11.8","47.1","35.3",".","5.9",".",".",".",".",".",".",".",".",".",".","."
"401
Topics in Global Security","001","","20","3.775","70.0","15.0","15.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"403
Culture in Age of Globalizatn","001","","16","3.594","50.0","37.5",".","6.3","6.3",".",".",".",".",".",".",".",".",".",".","."
"431
Contentious Politics","001","","27","3.615","66.7","7.4","11.1",".","11.1",".",".",".",".",".",".",".","3.7",".",".","."
"602
Politics&Policy in Global Econ","001","","13","3.577","53.8","15.4","23.1","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"699","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","2","***","","","","","","","","","","","","","","","",""
