"SOCIOLOGY","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"900
SOC","","","","","","","","","","","","","","","","","","","",""
"Marriage and Family","120","001","264","3.214","17.8","36.4","31.1","6.8","4.5","1.1","1.5","0.8",".",".",".",".",".",".",".","."
"Amer Soc: How It Really Works","125","001","156","3.439","41.7","27.6","18.6","7.1","1.9","1.3","1.3","0.6",".",".",".",".",".",".",".","."
"Criminal Justice in America","131","001","87","2.918","10.3","21.8","35.6","10.3","16.1","2.3","1.1",".",".",".",".",".","1.1","1.1",".","."
"","134","001","288","3.409","47.6","18.1","19.4","4.9","6.6","1.4","1.4",".",".",".",".",".",".","0.3","0.3","."
"","134","002","95","3.900","87.4","9.5","1.1",".","2.1",".",".",".",".",".",".",".",".",".",".","."
"Am Racial&Ethnic Minorities","","Course Total","383","3.531","57.4","15.9","14.9","3.7","5.5","1.0","1.0",".",".",".",".",".",".","0.3","0.3","."
"The Sociology of Gender","138","001","100","3.965","95.0","3.0","2.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Community & Envir Soc","140","001","21","3.690","47.6","42.9","9.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Population Problems","170","001","382","3.226","26.4","32.2","16.0","13.9","9.4","1.8",".","0.3",".",".",".",".",".",".",".","."
"Intercultural Dialogues","205","001","28","3.750","75.0","14.3","7.1",".",".","3.6",".",".",".",".",".",".",".",".",".","."
"Leadership in ICD","206","001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Survey of Sociology","210","001","89","3.107","22.5","31.5","25.8","10.1","3.4","1.1","5.6",".",".",".",".",".",".",".",".","."
"The Sociological Enterprise","211","001","61","3.467","54.1","14.8","13.1","8.2","4.9","3.3",".",".",".",".",".",".",".","1.6",".","."
"Envir, Nat Resources & Society","248","001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Civs of India-Modern Period","252","001","13","3.308","38.5","30.8","23.1",".",".",".","7.7",".",".",".",".",".",".",".",".","."
"Latin America-Introduction","260","001","6","3.583","66.7","16.7",".",".","16.7",".",".",".",".",".",".",".",".",".",".","."
"Africa: Introductory Survey","277","001","7","3.250","28.6","42.9",".",".",".","14.3",".",".",".",".",".",".","14.3",".",".","."
"","320","009","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","320","034","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","320","035","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","320","049","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","320","066","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","320","071","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","320","109","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","320","135","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research Practicum","","Course Total","16","3.929","93.8",".","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Human Sexuality","350","001","67","2.766","9.0","17.9","32.8","9.0","19.4","6.0","1.5",".",".",".",".",".","3.0",".",".","1.5"
"Meth-Sociological Inquiry","357","001","76","3.428","43.4","25.0","17.1","7.9","5.3",".","1.3",".",".",".",".",".",".",".",".","."
"Stats for Sociologists I","360","001","59","3.086","37.3","11.9","13.6","22.0","5.1","6.8","1.7","1.7",".",".",".",".",".",".",".","."
"Stats for Sociologists II","361","001","6","3.667","33.3","66.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Stats for Sociologists III","362","001","31","3.323","29.0","29.0","32.3","3.2","3.2","3.2",".",".",".",".",".",".",".",".",".","."
"Data Mgt for Sociological Res","365","001","21","3.762","85.7","9.5",".",".",".",".","4.8",".",".",".",".",".",".",".",".","."
"Criminology","441","001","87","3.756","56.3","36.8","5.7",".",".",".",".",".",".",".",".",".",".",".","1.1","."
"","475","002","21","2.703","9.5","19.0","14.3","38.1","14.3",".","4.8",".",".",".",".",".",".",".",".","."
"","475","003","20","2.684","10.0","20.0","20.0","10.0","30.0",".","5.0",".",".",".",".",".","5.0",".",".","."
"","475","004","23","3.068","17.4","17.4","30.4","21.7","8.7",".",".",".",".",".",".",".","4.3",".",".","."
"Classical Soc Theory","","Course Total","64","2.826","12.5","18.8","21.9","23.4","17.2",".","3.1",".",".",".",".",".","3.1",".",".","."
"","496","001","24","3.087","20.8","20.8","25.0","12.5","16.7",".",".",".",".",".",".",".",".","4.2",".","."
"","496","004","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics in Sociology","","Course Total","33","3.192","42.4","15.2","18.2","9.1","12.1",".",".",".",".",".",".",".",".","3.0",".","."
"","530","001","18","3.176","27.8","27.8","11.1","16.7","5.6","5.6",".",".",".",".",".",".","5.6",".",".","."
"","530","002","17","2.059",".","5.9","17.6","17.6","29.4","29.4",".",".",".",".",".",".",".",".",".","."
