"SOCIOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"900
SOC","","","","","","","","","","","","","","","","","","","","",""
"","999
094","1","***","","","","","","","","","","",".",".","",".",".",".",".","."
"Reading & Research","Course Total","19","4.000","57.9",".",".",".",".",".",".","10.5","",".",".","",".","15.8","5.3",".","10.5","."
"SOC
900","Dept. Total","2593","3.386","41.8","21.6","15.7","6.8","5.4","1.5","0.9","4.0","",".",".","",".","0.7","1.1","0.2","0.2","0.0"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"900
SOC","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","253","3.084","20.6","27.7","25.3","13.8","7.9","2.4","2.0",".","",".",".","",".",".","0.4",".",".","."
"Sophomore","","732","3.371","37.8","28.1","18.7","7.0","5.6","1.4","1.2",".","",".",".","",".",".","0.1",".",".","."
"Junior","","599","3.410","43.7","22.5","17.0","7.2","5.5","2.2","0.5",".","",".",".","",".",".","0.7","0.5","0.2","."
"Senior","","573","3.356","44.3","20.6","15.7","7.3","7.3","1.7","1.0","0.2","",".",".","",".","0.2","1.0",".","0.3","0.2"
"Undergraduates","","2157","3.342","39.2","24.5","18.2","7.9","6.3","1.8","1.1","0.0","",".",".","",".","0.0","0.6","0.1","0.1","0.0"
"Special","","38","3.314","47.4","5.3","5.3","13.2","13.2",".",".","7.9","",".",".","",".",".",".","5.3","2.6","."
"Graduate","","397","3.882","55.7","7.3","2.8","0.3",".",".",".","25.2","",".",".","",".","4.0","4.3",".","0.5","."
"Prof Yr 1","","1","***","","","","","","","","","","",".","",".",".",".",".",".","."
"Professionals","","1","***","","","","","","","","","","",".","",".",".",".",".",".","."
"","Dept. Total","2593","3.386","41.8","21.6","15.7","6.8","5.4","1.5","0.9","4.0","",".",".","",".","0.7","1.1","0.2","0.2","0.0"
