"INTERDIS COURSES (L & S)","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"502
INTER-LS","","","","","","","","","","","","","","","","","","",""
"1st-Yr Smr: Social&Natural Sci","107
001","20","3.575","60.0","10.0","20.0","5.0","5.0",".",".",".",".",".",".",".",".",".",".","."
"Ways of Knowing:Med&Society","152
001","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"L&S Career Development","210
001","136","3.678","74.3","11.0","5.1","2.9","1.5","3.7","0.7",".",".",".",".",".","0.7",".",".","."
"","250
001","15","3.941","86.7","13.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","250
002","12","3.883","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","250
003","13","3.500","53.8","23.1","7.7","7.7",".","7.7",".",".",".",".",".",".",".",".",".","."
"","250
004","13","3.656","61.5","23.1","7.7","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"","250
005","11","3.833","81.8",".",".",".","9.1",".",".",".",".",".",".",".","9.1",".",".","."
"","006
250","12","3.889","91.7",".","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","250
007","10","3.900","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","008
250","12","3.905","75.0","16.7",".",".",".",".",".",".",".",".",".",".","8.3",".",".","."
"","250
009","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","250
010","10","3.955","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Undergrad Research Experience","Course Total","119","3.833","79.0","13.4","2.5","1.7","0.8","0.8",".",".",".",".",".",".","1.7",".",".","."
"","260
001","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","260
002","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","260
003","11","3.455","54.5","36.4",".",".",".",".","9.1",".",".",".",".",".",".",".",".","."
"Intrnshp in Liberal Arts & Sci","Course Total","33","3.818","84.8","12.1",".",".",".",".","3.0",".",".",".",".",".",".",".",".","."
"Public Humanities","700
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"INTER-LS
502","Dept. Total","326","3.772","77.6","11.3","4.3","2.1","1.2","1.8","0.6",".",".",".",".",".","0.9",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"502
INTER-LS","","","","","","","","","","","","","","","","","","",""
"Freshmen","","36","3.709","63.9","22.2","11.1","2.8",".",".",".",".",".",".",".",".",".",".",".","."
"Sophomore","","119","3.750","75.6","11.8","4.2","0.8","1.7","3.4",".",".",".",".",".",".","2.5",".",".","."
"Junior","","93","3.786","80.6","8.6","2.2","4.3","2.2","2.2",".",".",".",".",".",".",".",".",".","."
"Senior","","72","3.810","81.9","9.7","4.2","1.4",".",".","2.8",".",".",".",".",".",".",".",".","."
"Undergraduates","","320","3.764","77.2","11.6","4.4","2.2","1.3","1.9","0.6",".",".",".",".",".","0.9",".",".","."
"Special","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Graduate","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","Dept. Total","326","3.772","77.6","11.3","4.3","2.1","1.2","1.8","0.6",".",".",".",".",".","0.9",".",".","."
