"ENGLISH","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"352
ENGL","","","","","","","","","","","","","","","","","","",""
"","100
001","18","3.889","77.8","22.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
003","17","3.853","76.5","17.6","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
004","17","3.647","47.1","47.1",".",".","5.9",".",".",".",".",".",".",".",".",".",".","."
"","100
005","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
006","18","3.833","83.3","5.6","5.6","5.6",".",".",".",".",".",".",".",".",".",".",".","."
"","100
008","19","3.789","94.7",".",".",".",".",".","5.3",".",".",".",".",".",".",".",".","."
"","100
009","19","3.789","68.4","21.1","10.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
010","19","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
011","19","3.974","94.7","5.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
012","18","3.861","77.8","16.7","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
013","19","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
014","18","3.694","55.6","27.8","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","015
100","19","3.842","73.7","21.1","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
016","19","3.974","94.7","5.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
017","18","3.556","33.3","50.0","11.1","5.6",".",".",".",".",".",".",".",".",".",".",".","."
"","100
019","19","3.816","84.2","5.3",".","10.5",".",".",".",".",".",".",".",".",".",".",".","."
"","100
020","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
022","19","3.868","73.7","26.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
023","18","3.778","61.1","33.3","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
024","19","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
025","19","3.789","73.7","10.5","15.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
026","17","3.750","52.9","35.3","5.9",".",".",".",".",".",".",".",".",".","5.9",".",".","."
"","100
027","17","3.412","35.3","29.4","17.6","17.6",".",".",".",".",".",".",".",".",".",".",".","."
"","100
028","18","3.972","94.4","5.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
030","17","3.824","64.7","35.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
031","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
032","17","3.941","94.1",".","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","033
100","18","3.556","33.3","44.4","22.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","034
100","19","3.763","68.4","21.1","5.3","5.3",".",".",".",".",".",".",".",".",".",".",".","."
"","100
035","18","3.889","77.8","22.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
036","18","4.000","94.4",".",".",".",".",".",".",".",".",".",".",".","5.6",".",".","."
"","100
037","20","4.000","95.0",".",".",".",".",".",".",".",".",".",".",".","5.0",".",".","."
"","100
038","19","3.947","89.5","10.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
039","19","3.921","84.2","15.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","040
100","19","4.000","94.7",".",".",".",".",".",".",".",".",".",".",".","5.3",".",".","."
"","100
041","19","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
042","19","3.921","84.2","15.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
043","18","3.882","72.2","22.2",".",".",".",".",".",".",".",".",".",".","5.6",".",".","."
"","044
100","19","3.868","78.9","15.8","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","050
100","15","3.591","26.7","33.3","13.3",".",".",".",".",".",".",".",".",".","26.7",".",".","."
"Intro to College Composition","Course Total","730","3.859","78.4","15.2","3.8","1.1","0.1",".","0.1",".",".",".",".",".","1.2",".",".","."
"Intro-Theatre & Dramatic Lit","001
120","150","3.508","42.0","39.3","7.3","5.3","2.0","1.3","1.3","1.3",".",".",".",".",".",".",".","."
"Comm B Topics in English Lit","140
001","135","3.271","25.9","28.1","28.1","9.6","3.0","0.7","1.5","1.5",".",".",".",".","0.7","0.7",".","."
"Lit & Culture of Asian America","150
001","8","3.688","50.0","37.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Shakespeare","162
001","145","3.230","21.4","26.2","36.6","6.9","2.1","1.4","1.4","2.8",".",".",".",".","0.7",".","0.7","."
