"THEATRE AND DRAMA","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"942
THEATRE","","","","","","","","","","","","","","","","","","",""
"Intro-Theatre & Dramatic Lit","120
001","208","3.472","38.0","41.8","7.7","8.7","1.0","2.4","0.5",".",".",".",".",".",".",".",".","."
"Voice Training","140
001","17","3.794","76.5","17.6",".",".","5.9",".",".",".",".",".",".",".",".",".",".","."
"","150
001","15","3.767","80.0",".","13.3","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"","150
002","17","3.941","88.2","11.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","150
003","16","3.656","50.0","31.3","18.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","150
004","18","3.889","88.9",".","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","150
005","16","3.813","62.5","37.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","150
006","17","3.765","76.5","5.9","11.8","5.9",".",".",".",".",".",".",".",".",".",".",".","."
"","007
150","14","3.786","71.4","14.3","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","150
010","14","3.857","78.6","14.3","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Introduction to Acting","Course Total","127","3.811","74.8","14.2","9.4","1.6",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Stage Production","160
001","14","3.821","78.6","14.3",".","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"","161
001","6","3.833","83.3",".","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","161
002","10","3.550","60.0","30.0",".",".",".","10.0",".",".",".",".",".",".",".",".",".","."
"Backstage Laboratory I","Course Total","16","3.656","68.8","18.8","6.3",".",".","6.3",".",".",".",".",".",".",".",".",".","."
"","162
001","7","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","162
002","9","4.000","88.9",".",".",".",".",".",".",".",".",".",".",".","11.1",".",".","."
"Theatre Production Laboratory","Course Total","16","3.967","87.5","6.3",".",".",".",".",".",".",".",".",".",".","6.3",".",".","."
"Undergrad Topics-Theatre&Drama","219
001","15","3.967","93.3","6.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intermediate Voice Training","240
001","6","3.667","50.0","33.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","250
001","10","3.450","70.0",".",".","10.0","20.0",".",".",".",".",".",".",".",".",".",".","."
"","250
002","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Fundamentals of Acting","Course Total","20","3.725","85.0",".",".","5.0","10.0",".",".",".",".",".",".",".",".",".",".","."
"Fundamentals-Movemnt for Stage","342
001","8","3.813","87.5",".",".","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"Acting Realism","350
001","11","3.773","63.6","27.3","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro Theatre-Cultrl&Soc Aware","357
002","19","3.974","94.7","5.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","362
001","9","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","362
002","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Drama for Teaching & Learning","Course Total","18","3.972","94.4","5.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Prin&Pract-Stage Costume Dsgn","363
001","6","3.225","50.0","33.3",".",".",".",".","16.7",".",".",".",".",".",".",".",".","."
"","366
001","7","3.440","28.6","42.9","14.3","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"","366
002","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Stage Lighting I","Course Total","11","3.553","36.4","45.5","9.1","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"Fundamentals of Directing","368
001","14","3.821","71.4","21.4","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Sound for Theatre","371
001","12","3.583","58.3","33.3",".",".",".","8.3",".",".",".",".",".",".",".",".",".","."
"Set Design I","372
001","9","3.813","66.7","11.1","11.1",".",".",".",".",".",".",".",".",".","11.1",".",".","."
"Costume Technology Topics","464
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Stage Lighting Design II","466
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Theatre in Education","525
001","8","3.875","87.5",".","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Acting Shakespeare","541
001","6","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Backstage Laboratory III","561
001","7","3.786","71.4","14.3","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Costume Design II","563
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
