"HUMAN DEVEL & FAMILY STUDI Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"230
HDFS","","","","","","","","","","","","","","","","","","","",""
"Development of Young Child","362
001","","241","3.538","54.8","21.6","11.2","4.1","5.8","2.1",".","0.4",".",".",".",".",".",".",".","."
"Develp: Adolescence-Old Age","363
001","","247","3.486","41.7","32.8","15.4","3.6","3.6","1.6","0.4","0.4",".",".",".",".",".",".","0.4","."
"","425
001","","29","3.483","41.4","27.6","20.7","6.9","3.4",".",".",".",".",".",".",".",".",".",".","."
"","002
425","","30","3.800","63.3","33.3","3.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Rsch Meth in Hum Devel&Fam St","Course Total","","59","3.644","52.5","30.5","11.9","3.4","1.7",".",".",".",".",".",".",".",".",".",".","."
"","474
001","","38","3.789","78.9","15.8","2.6",".",".",".","2.6",".",".",".",".",".",".",".",".","."
"","474
002","","39","3.667","69.2","15.4","7.7","5.1",".",".","2.6",".",".",".",".",".",".",".",".","."
"Racial Ethnic Families in U.S.","Course Total","","77","3.727","74.0","15.6","5.2","2.6",".",".","2.6",".",".",".",".",".",".",".",".","."
"Special Topics","008
501","","74","3.709","70.3","12.2","12.2","2.7","1.4","1.4",".",".",".",".",".",".",".",".",".","."
"Family Stress and Resilience","516
001","","50","3.870","84.0","10.0","4.0",".","2.0",".",".",".",".",".",".",".",".",".",".","."
"Couple Relationships","517
002","","43","3.726","62.8","20.9","9.3","4.7",".",".",".",".",".",".",".",".","2.3",".",".","."
"Family Perspctv-Policymakng","535
001","","49","3.073","20.4","24.5","26.5","10.2","12.2","4.1",".",".",".",".",".",".","2.0",".",".","."
"Research Experience in HDFS","592
001","","23","3.973","95.7","4.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Internship","601
002","","37","3.847","89.2",".",".","2.7","5.4",".",".",".",".",".",".",".","2.7",".",".","."
"","616
001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","616
002","","42","3.833","78.6","11.9","7.1","2.4",".",".",".",".",".",".",".",".",".",".",".","."
"Mass Media and Youth","Course Total","","43","3.826","76.7","14.0","7.0","2.3",".",".",".",".",".",".",".",".",".",".",".","."
"","650
001","","31","3.790","87.1","6.5",".","3.2",".",".","3.2",".",".",".",".",".",".",".",".","."
"","002
650","","24","3.854","79.2","12.5","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Parent Educ & Support Programs","Course Total","","55","3.818","83.6","9.1","3.6","1.8",".",".","1.8",".",".",".",".",".",".",".",".","."
"Developmental & Fam Assessment","663
001","","34","3.955","91.2","2.9","2.9",".",".",".",".",".",".",".",".",".","2.9",".",".","."
"Senior Honors Thesis","681
011","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
011","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
039","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
044","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","4","***","","","","","","","","","","","","","","","",""
"Theory & Issues-Human Dev","725
001","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ethnic/Racial Social Dev","726
001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","766
001","","6","3.900","66.7","16.7",".",".",".",".",".","16.7",".",".",".",".",".",".",".","."
"","766
002","","10","3.850","80.0","10.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Current Iss-Family Living","Course Total","","16","3.867","75.0","12.5","6.3",".",".",".",".","6.3",".",".",".",".",".",".",".","."
"","990
003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
013","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
017","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
039","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
040","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
041","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
043","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
045","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","Course Total","","17","",".",".",".",".",".",".",".","64.7","5.9",".",".","29.4",".",".",".","."
