"BIOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"205
BIOLOGY","","","","","","","","","","","","","","","","","","",""
"","101
001","129","2.562","21.7","7.8","20.9","5.4","27.9","10.1","6.2",".",".",".",".",".",".",".",".","."
"","002
101","185","2.300","13.0","4.9","24.9","3.2","33.5","11.4","9.2",".",".",".",".",".",".",".",".","."
"Animal Biology","Course Total","314","2.408","16.6","6.1","23.2","4.1","31.2","10.8","8.0",".",".",".",".",".",".",".",".","."
"","102
001","14","3.286","35.7",".","57.1",".","7.1",".",".",".",".",".",".",".",".",".",".","."
"","002
102","11","3.591","45.5","27.3","27.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","102
003","10","2.650","10.0","10.0","40.0",".","30.0","10.0",".",".",".",".",".",".",".",".",".","."
"","102
004","8","3.500","50.0","12.5","25.0","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"","102
005","12","3.250","33.3","16.7","25.0","16.7","8.3",".",".",".",".",".",".",".",".",".",".","."
"","102
006","14","3.429","42.9","14.3","35.7",".","7.1",".",".",".",".",".",".",".",".",".",".","."
"","007
102","11","3.818","81.8",".","18.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","008
102","9","3.389","44.4","11.1","33.3",".","11.1",".",".",".",".",".",".",".",".",".",".","."
"","102
009","10","3.450","50.0","10.0","30.0",".","10.0",".",".",".",".",".",".",".",".",".",".","."
"","102
010","13","3.385","46.2","15.4","23.1",".","15.4",".",".",".",".",".",".",".",".",".",".","."
"","102
011","12","3.250","41.7",".","41.7",".","16.7",".",".",".",".",".",".",".",".",".",".","."
"","102
012","11","3.750","72.7","9.1",".",".","9.1",".",".",".",".",".",".",".",".","9.1",".","."
"","102
013","11","3.364","27.3","18.2","54.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","102
014","11","3.409","36.4","9.1","54.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","015
102","9","3.778","77.8",".","22.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","102
016","11","3.500","54.5",".","36.4","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"","102
017","10","3.300","30.0","10.0","50.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"","102
018","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","102
019","9","3.722","55.6","33.3","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Animal Biology Laboratory","Course Total","201","3.420","45.3","10.4","34.3","2.5","6.5","0.5",".",".",".",".",".",".",".","0.5",".","."
"General Botany","130
001","35","3.114","25.7","11.4","45.7","5.7","8.6",".","2.9",".",".",".",".",".",".",".",".","."
"Introductory Biology","151
001","286","2.739","13.3","8.7","38.5","10.5","20.3","7.0","1.4",".",".",".",".",".","0.3",".",".","."
"","152
001","243","3.044","16.0","14.0","49.0","7.0","11.1","0.8","0.8",".",".",".",".",".","0.8",".","0.4","."
"","152
002","282","3.018","14.9","13.5","50.4","7.1","12.8","0.7","0.7",".",".",".",".",".",".",".",".","."
"","152
003","17","3.706","64.7","11.8","23.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","152
004","23","3.370","34.8","13.0","47.8",".","4.3",".",".",".",".",".",".",".",".",".",".","."
"","152
005","20","3.525","45.0","20.0","30.0","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"","152
006","22","3.273","36.4","13.6","31.8","4.5","13.6",".",".",".",".",".",".",".",".",".",".","."
"","152
007","20","3.553","45.0","15.0","35.0",".",".",".",".",".",".",".",".",".","5.0",".",".","."
"","152
008","20","3.675","65.0","5.0","30.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","152
009","20","3.625","60.0","15.0","20.0",".","5.0",".",".",".",".",".",".",".",".",".",".","."
"","152
010","23","3.587","39.1","39.1","21.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","152
011","21","3.714","61.9","19.0","19.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Introductory Biology","Course Total","711","3.166","24.3","14.6","44.3","5.5","9.6","0.6","0.6",".",".",".",".",".","0.4",".","0.1","."
"","375
001","34","3.912","94.1",".","2.9",".","2.9",".",".",".",".",".",".",".",".",".",".","."
"","375
002","12","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","375
003","21","3.976","95.2","4.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","375
004","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","375
005","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics","Course Total","86","3.934","93.0","4.7","1.2",".","1.2",".",".",".",".",".",".",".",".",".",".","."
"Internship/Field Experience","399
002","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Evolution Seminar Series UG","522
001","9","3.722","66.7","11.1","22.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"June 30, 2017","","","","","","","","","","","","","","","","","","Page 176 of 422",""
