"COMMUNITY & ENVIRONMENTA Section","","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"864
C&E SOC","","","","","","","","","","","","","","","","","","","","",""
"Intro-Community & Envir Soc","140","001","","21","3.476","42.9","23.8","19.0","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"Survey of Sociology","210","001","","32","3.203","28.1","34.4","21.9","6.3",".","6.3","3.1",".",".",".",".",".",".",".",".","."
"The Sociological Enterprise","211","001","","14","3.679","50.0","35.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Envir, Nat Resources & Society","248","001","","25","3.520","48.0","28.0","8.0","12.0","4.0",".",".",".",".",".",".",".",".",".",".","."
"Latin America-Introduction","260","001","","8","3.563","50.0","25.0","12.5","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"Independent Study","299","072","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Meth-Sociological Inquiry","357","001","","13","3.731","76.9","7.7",".","15.4",".",".",".",".",".",".",".",".",".",".",".","."
"Stats for Sociologists I","360","001","","14","2.786","21.4",".","21.4","28.6","28.6",".",".",".",".",".",".",".",".",".",".","."
"Data Mgt for Sociological Res","365","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","399","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399","063","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399","071","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399","075","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","399","089","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Coord Intrnshp/Cooprtv Educ","","Course Total","","7","4.000","85.7",".",".",".",".",".",".",".",".",".",".",".",".",".","14.3","."
"People, Wildlife & Landscapes","434","001","","9","3.611","55.6","22.2","11.1","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"","475","002","","13","3.154","15.4","30.8","30.8","15.4","7.7",".",".",".",".",".",".",".",".",".",".","."
"","475","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","475","004","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Classical Soc Theory","","Course Total","","18","3.029","11.1","27.8","22.2","22.2","11.1",".",".",".",".",".",".",".","5.6",".",".","."
"Capstone Experience","500","001","","11","3.650","54.5","27.3",".",".","9.1",".",".",".",".",".",".",".","9.1",".",".","."
"Ethics of Modern Biotechnology","565","001","","8","3.125","12.5","37.5","12.5","37.5",".",".",".",".",".",".",".",".",".",".",".","."
"Community Organization&Change","573","001","","19","3.469","63.2","5.3","5.3",".",".","5.3","5.3",".",".",".",".",".","15.8",".",".","."
"Sociol-Economic Institutions","652","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Appl Demogrphy-Planning&Policy","676","001","","6","3.583","50.0","33.3",".","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"Senior Honors Thesis","682","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Pract-Analysis & Research","693","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","075","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","076","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems","","Course Total","","4","***","","","","","","","","","","","","","","","",""
"Research Methods-Sociology","750","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Methods-Qualitative Resch","755","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Topics","875","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Smr:Topics-Demography&Ecol","971","002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Research","990","072","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research:Soc of Econ Chnge","993","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","999","063","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","999","093","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Reading and Research","","Course Total","","2","***","","","","","","","","","","","","","","","",""
