"CURRICULUM AND INSTRUCTIO Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"272
CURRIC","","","","","","","","","","","","","","","","","","","",""
"975","002","","9","4.000","88.9",".",".",".",".",".",".",".",".",".",".",".",".","11.1",".","."
"975","003","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"975","004","","13","3.808","76.9","7.7","15.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"975","005","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"975","006","","18","4.000","94.4",".",".",".",".",".",".",".",".",".",".",".",".",".","5.6","."
"General Seminar","Course Total","","67","3.946","89.6","4.5","3.0",".",".",".",".",".",".",".",".",".",".","1.5","1.5","."
"990","001","","9","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","006","","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","010","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","012","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","014","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","019","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","020","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","021","","12","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","022","","7","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","023","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","031","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","047","","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","052","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","056","","14","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","057","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","067","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","068","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","070","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","072","","10","",".",".",".",".",".",".",".","20.0",".",".",".","60.0",".","20.0",".","."
"990","075","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","080","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","088","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","095","","9","",".",".",".",".",".",".",".",".",".",".",".","100.0",".",".",".","."
"990","098","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Research or Thesis","Course Total","","125","",".",".",".",".",".",".",".","73.6","0.8",".",".","24.0",".","1.6",".","."
"991
Post-Secondary Teaching Practm","023","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","006","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"999","010","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"999","012","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"999","013","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"999","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","017","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"999","020","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","021","","2","***","","","","","","","","","",".",".",".",".",".",".","."
