"ART DEPARTMENT","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","","GPA","","","","","","","","","","","","","","","",""
"168
ART","","","","","","","","","","","","","","","","","","","","",""
"","376","003","","10","3.750","70.0","10.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Photography","","Course Total","","28","3.571","42.9","32.1","21.4","3.6",".",".",".",".",".",".",".",".",".",".",".","."
"Internships in Art","393","001","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Art Foundry","414","001","","11","3.600","63.6","18.2",".",".",".","9.1",".","9.1",".",".",".",".",".",".",".","."
"Digital Imaging Studio","428","001","","11","3.727","63.6","18.2","18.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Design Context","438","001","","17","3.235","17.6","23.5","52.9",".","5.9",".",".",".",".",".",".",".",".",".",".","."
"Advanced Sound Design","441","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","448","004","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","448","005","","14","3.857","85.7",".","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","448","006","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","448","007","","14","3.750","85.7",".","7.1",".","7.1",".",".",".",".",".",".",".",".",".",".","."
"","448","010","","18","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","448","013","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Topics","","Course Total","","66","3.878","84.8","9.1","4.5",".","1.5",".",".",".",".",".",".",".",".",".",".","."
"Intmed Paint: New Figuration I","452","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Neon: Light as Sculpture","454","001","","12","3.583","41.7","50.0",".",".","8.3",".",".",".",".",".",".",".",".",".",".","."
"Illustration","456","001","","8","3.813","62.5","37.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Graphic Design for Posters","467","001","","15","3.333","20.0","26.7","53.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","469","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","469","002","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","469","010","","11","3.864","72.7","27.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Interdis Studies in the Arts","","Course Total","","24","3.790","75.0","20.8",".",".","4.2",".",".",".",".",".",".",".",".",".",".","."
"Special Topics in 4D Art","470","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Intermediate Photography","476","001","","14","3.821","78.6","14.3",".","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Relief Printmaking","506","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Colloquium in Art","508","001","","97","3.768","57.7","8.2","4.1","1.0",".","1.0","1.0",".",".",".",".",".","2.1","1.0","23.7","."
"Advanced Drawing I","512","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Sculpture Workshop 1","514","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Lithography","516","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Artist's Video","518","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Installations & Environments","521","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Painting I","522","001","","6","3.833","83.3",".","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Ceramics I","524","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Etching/Intaglio","526","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"3D Digital Studio II","529","001","","13","3.423","61.5","7.7","23.1",".",".",".","7.7",".",".",".",".",".",".",".",".","."
"Screen Performance","531","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Life Drawing I","532","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Wood Working","534","001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Serigraphy","536","001","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Watercolor I","542","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Art Metal I","544","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
