"","990
073","2","***","","","","","","","","","","","","",".",".","",".",".",".",".","."
"","990
078","2","***","","","","","","","","","","","","",".",".","",".",".",".",".","."
"","990
081","2","***","","","","","","","","","","","","",".",".","",".",".",".",".","."
"Research","Course Total","34","",".",".",".",".",".","",".","",".","85.3","",".",".","",".","14.7",".",".",".","."
"PATH-BIO
703","Dept. Total","767","3.563","34.2","12.8","11.0","1.4","1.4","",".","",".","29.6","",".",".","",".","0.7","8.2",".","0.8","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","","F","","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"703
PATH-BIO","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","1","***","","","","","","","","","","","","",".","",".",".",".",".",".","."
"Junior","","8","3.386","50.0",".","37.5","12.5",".","",".","",".",".","",".",".","",".",".",".",".",".","."
"Senior","","20","3.172","35.0","15.0","20.0","15.0","15.0","",".","",".",".","",".",".","",".",".",".",".",".","."
"Undergraduates","","29","3.250","41.4","10.3","24.1","13.8","10.3","",".","",".",".","",".",".","",".",".",".",".",".","."
"Graduate","","52","3.300","3.8","3.8","3.8","1.9",".","",".","",".","76.9","",".",".","",".","9.6",".",".",".","."
"Prof Yr 1","","178","3.309","18.0","5.1","20.8","2.2","3.9","",".","",".","30.9","",".",".","",".",".","16.3",".","2.8","."
"Prof Yr 2","","338","3.614","37.9","18.0","10.7","0.3","0.3","",".","",".","22.5","",".",".","",".",".","10.1",".","0.3","."
"Prof Yr 3","","88","3.830","70.5","26.1","2.3","1.1",".","",".","",".",".","",".",".","",".",".",".",".",".","."
"Prof Yr 4","","82","4.000","31.7",".",".",".",".","",".","",".","68.3","",".",".","",".",".",".",".",".","."
"Professionals","","686","3.587","36.2","13.6","10.9","0.9","1.2","",".","",".","27.3","",".",".","",".",".","9.2",".","0.9","."
"","Dept. Total","767","3.563","34.2","12.8","11.0","1.4","1.4","",".","",".","29.6","",".",".","",".","0.7","8.2",".","0.8","."
