"GEOSCIENCE","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"420
GEOSCI","","","","","","","","","","","","","","","","","","","",""
"General Geology","100","001","282","3.165","32.6","13.8","29.8","7.8","8.5","3.9","1.1","2.1",".",".",".",".","0.4",".",".","."
"Survey of Oceanography","105","001","26","3.327","26.9","42.3","15.4","7.7","3.8","3.8",".",".",".",".",".",".",".",".",".","."
"Environmental Geology","106","001","109","3.417","38.5","28.4","18.3","6.4","6.4","0.9",".","0.9",".",".",".",".",".",".",".","."
"Evolution and Extinction","110","001","169","3.098","22.5","18.9","30.8","14.8","11.8","0.6","0.6",".",".",".",".",".",".",".",".","."
"Sci Behind News-Wrld Around Us","115","001","153","2.990","20.9","15.7","27.5","12.4","13.7","2.0","2.0","4.6",".",".",".",".","1.3",".",".","."
"Monitoring Earth by Satellite","118","001","51","3.140","25.5","27.5","23.5","7.8","7.8","3.9","2.0","2.0",".",".",".",".",".",".",".","."
"Life in the Universe","160","001","46","3.080","19.6","19.6","37.0","8.7","6.5","2.2","2.2",".",".",".",".",".",".",".","4.3","."
"Geologic Evolution of Earth","204","001","74","2.840","6.8","23.0","31.1","18.9","13.5","1.4","2.7","2.7",".",".",".",".",".",".",".","."
"Geomorphology","320","001","7","3.286","42.9","28.6","14.3",".",".","14.3",".",".",".",".",".",".",".",".",".","."
"Gems: Sci Behind the Sparkle","331","001","242","3.064","22.7","27.3","21.9","11.2","10.7","5.0","1.2",".",".",".",".",".",".",".",".","."
"Intro Geophysics:Dynmic  Earth","350","001","22","3.500","45.5","22.7","13.6","9.1","4.5",".",".","4.5",".",".",".",".",".",".",".","."
"Elementary Petrology","370","001","61","3.082","23.0","26.2","23.0","13.1","8.2","6.6",".",".",".",".",".",".",".",".",".","."
"Principles of Geochemistry","375","001","27","3.259","37.0","14.8","22.2","14.8","11.1",".",".",".",".",".",".",".",".",".",".","."
"Topics in Geology","376","001","19","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Glacial&Pleistocene Geology","420","001","16","3.136","12.5","18.8","25.0",".","12.5",".",".","31.3",".",".",".",".",".",".",".","."
"Sedimentology and Stratigraphy","430","001","20","3.026","40.0","15.0","20.0",".","5.0","5.0","10.0",".",".",".",".",".","5.0",".",".","."
"Pract Appl of GPS Surveying","444","001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Structural Geology","455","001","28","3.093","14.3","21.4","50.0","3.6",".","7.1",".",".",".",".",".",".","3.6",".",".","."
"Conducted Field Trip","457","001","14","3.643","28.6","71.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Rock Mechanics","474","002","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Principles-Econ Geology","515","001","8","3.438","25.0","37.5","37.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Senior Thesis","692","015","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","004","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","009","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","010","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","020","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","031","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","032","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","037","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","038","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","039","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","040","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","043","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Directed Study","","Course Total","23","3.952","82.6","8.7",".","4.3",".",".",".",".",".",".",".",".",".",".","4.3","."
"Carbonate Geology","731","001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Geophysical Inverse Theory","793","001","8","3.625","37.5","50.0","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","875","001","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","875","002","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","875","003","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","875","004","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Topics in Geology","","Course Total","20","4.000","70.0",".",".",".",".",".",".","30.0",".",".",".",".",".",".",".","."
"","990","004","2","***","","","","","","","","","",".",".",".",".",".",".","."
"June 30, 2017","","","","","","","","","","","","","","","","","","","Page 229 of 422",""
