"BIOSTATISTICS & MED INFORMA Section","","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","","GPA","","","","","","","","","","","","","","","",""
"210
B M I","","","","","","","","","","","","","","","","","","","","",""
"Intro to Clinical Trials I","542","003","","19","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Regression Methods-Pop Health","552","001","","7","3.571","42.9","28.6","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Medical Image Analysis","567","001","","9","4.000","88.9",".",".",".",".",".",".",".",".",".",".",".","11.1",".",".","."
"Independent Study","699","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Clinical Research Informatics","773","001","","8","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Bioinformatics","776","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Biostats & Biomed Informatics","826","004","","6","",".",".",".",".",".",".",".",".",".",".",".",".",".",".","100.0","."
"Statistical Methods-Molec Biol","877","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Computn&Informatcs in Biol&Med","915","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Hlth Informatics-Med Students","918","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"B M I
210","","Dept. Total","","61","3.888","70.5","11.5","3.3",".",".",".",".","1.6",".",".",".",".","1.6",".","11.5","."
