"CIVIL SOC & COMMUNITY STUDI Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"247
CSCS","","","","","","","","","","","","","","","","","","","",""
"125
Community and Social Change","001","","42","3.798","76.2","16.7","4.8",".",".","2.4",".",".",".",".",".",".",".",".",".","."
"130
Community Newswriting","001","","40","3.863","75.0","22.5","2.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"299
Independent Study","004","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"300
Nonprofit Sector: Overview","001","","42","3.720","71.4","11.9","9.5",".","2.4","2.4",".",".",".",".",".",".","2.4",".",".","."
"345
Strategic Plan-Nonprofit Orgs","001","","33","3.515","66.7","6.1","12.1","6.1","3.0","6.1",".",".",".",".",".",".",".",".",".","."
"350
Community Iss & Serv Learng","002","","27","3.981","96.3","3.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"375
Special Topics","003","","19","3.079","21.1","31.6","15.8","15.8","10.5","5.3",".",".",".",".",".",".",".",".",".","."
"460
Leadership&Mgt-Nonprofit Orgs","001","","32","3.906","81.3","18.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"501","001","","8","3.438","50.0","25.0",".","12.5","12.5",".",".",".",".",".",".",".",".",".",".","."
"501","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Topics","Course Total","","9","3.460","55.6","22.2",".","11.1","11.1",".",".",".",".",".",".",".",".",".",".","."
"560
Community Leadership","001","","48","3.927","87.5","10.4","2.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"570
Community Based Resrch & Eval","001","","39","3.962","92.3","7.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"601
Internship","001","","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","004","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"699","015","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","038","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"801","002","","10","4.000","90.0",".",".",".",".",".",".",".",".",".",".",".","10.0",".",".","."
"801","003","","11","3.955","90.9","9.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Civil Soc & Community Research","Course Total","","21","3.975","90.5","4.8",".",".",".",".",".",".",".",".",".",".","4.8",".",".","."
"990","009","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","015","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","037","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","Course Total","","9","",".",".",".",".",".",".",".","55.6",".",".",".","44.4",".",".",".","."
"999","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","037","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"999","053","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","054","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","5","***","","","","","","","","","","","","","","","",""
