"562
Human Cytogenetics","001
5","***","","","","","","","","","",".",".",".",".",".",".","."
"707
Genetics of Development","001
17","3.853","76.5","17.6","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"888
Public Health Genomics","001
1","***","","","","","","","","","",".",".",".",".",".",".","."
"MD GENET
616","23
Dept. Total","3.734","60.9","21.7","13.0","4.3",".",".",".",".",".",".",".",".",".",".",".","."
"Summary by Level","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","",""
"616
MD GENET","","","","","","","","","","","","","","","","","",""
"Senior","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Undergraduates","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Graduate","18","3.856","77.8","16.7","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Prof Yr 1","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Professionals","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","Dept. Total
23","3.734","60.9","21.7","13.0","4.3",".",".",".",".",".",".",".",".",".",".",".","."
