"L&S","","","","","","","","","","","","","","","","","","",""
"PHILOSOPHY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"736
PHILOS","","","","","","","","","","","","","","","","","","",""
"","101
002","71","3.261","21.1","35.2","26.8","9.9","1.4","1.4","1.4","2.8",".",".",".",".",".",".",".","."
"","003
101","67","3.231","13.4","35.8","37.3","10.4","3.0",".",".",".",".",".",".",".",".",".",".","."
"","008
101","62","2.960","9.7","37.1","24.2","16.1","4.8","4.8","3.2",".",".",".",".",".",".",".",".","."
"","101
009","75","3.520","41.3","37.3","14.7","2.7","2.7",".","1.3",".",".",".",".",".",".",".",".","."
"Introduction to Philosophy","Course Total","275","3.256","22.2","36.4","25.5","9.5","2.9","1.5","1.5","0.7",".",".",".",".",".",".",".","."
"","210
002","64","3.429","46.9","20.3","15.6","10.9","1.6","1.6","1.6","1.6",".",".",".",".",".",".",".","."
"","210
003","48","3.574","58.3","18.8","10.4","2.1","6.3","2.1",".","2.1",".",".",".",".",".",".",".","."
"Reason in Communication","Course Total","112","3.491","51.8","19.6","13.4","7.1","3.6","1.8","0.9","1.8",".",".",".",".",".",".",".","."
"","211
001","77","3.149","42.9","18.2","13.0","6.5","9.1","6.5","3.9",".",".",".",".",".",".",".",".","."
"","211
002","64","3.619","48.4","39.1","3.1","1.6","6.3",".",".","1.6",".",".",".",".",".",".",".","."
"","211
003","70","2.790","27.1","14.3","18.6","12.9","8.6","11.4","5.7",".",".",".",".",".","1.4",".",".","."
"Elementary Logic","Course Total","211","3.172","39.3","23.2","11.8","7.1","8.1","6.2","3.3","0.5",".",".",".",".","0.5",".",".","."
"","241
001","68","3.216","10.3","48.5","26.5","5.9","5.9",".","1.5",".",".",".",".",".","1.5",".",".","."
"","002
241","93","3.581","36.6","48.4","12.9","1.1",".","1.1",".",".",".",".",".",".",".",".",".","."
"Introductory Ethics","Course Total","161","3.428","25.5","48.4","18.6","3.1","2.5","0.6","0.6",".",".",".",".",".","0.6",".",".","."
"","304
001","20","3.650","55.0","20.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","304
002","17","3.706","47.1","47.1","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","304
003","27","3.761","44.4","40.7",".",".",".",".",".","14.8",".",".",".",".",".",".",".","."
"Topic in Philosophy-Humanities","Course Total","64","3.708","48.4","35.9","9.4",".",".",".",".","6.3",".",".",".",".",".",".",".","."
"","341
001","123","3.533","36.6","35.0","26.0","0.8","0.8",".",".","0.8",".",".",".",".",".",".",".","."
"","341
003","74","3.074","21.6","31.1","21.6","13.5","4.1","5.4","2.7",".",".",".",".",".",".",".",".","."
"","341
093","18","3.722","50.0","44.4","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","341
094","18","3.444","38.9","33.3","16.7",".","11.1",".",".",".",".",".",".",".",".",".",".","."
"","341
095","20","3.725","60.0","25.0","15.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","341
096","18","3.528","27.8","55.6","11.1","5.6",".",".",".",".",".",".",".",".",".",".",".","."
"Contemporary Moral Issues","Course Total","271","3.428","34.7","35.1","21.0","4.4","2.2","1.5","0.7","0.4",".",".",".",".",".",".",".","."
"Hist of Ancient Philosophy","001
430","33","3.273","24.2","36.4","33.3",".",".","3.0","3.0",".",".",".",".",".",".",".",".","."
"History-Modern Philosophy","432
001","49","3.133","26.5","24.5","20.4","18.4","6.1","2.0","2.0",".",".",".",".",".",".",".",".","."
"Moral Philos & the Holocaust","442
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Classical Philosophers","454
001","15","3.714","46.7","40.0","6.7",".",".",".",".",".",".",".",".",".",".","6.7",".","."
"Junior Honors Seminar","481
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Junior Honors Seminar","482
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Methods of Logic","512
001","15","3.038","20.0","26.7","20.0","6.7",".","13.3",".",".",".",".",".",".",".","13.3",".","."
"Language and Meaning","516
001","22","3.477","36.4","36.4","18.2","4.5","4.5",".",".",".",".",".",".",".",".",".",".","."
"Philosophy and Economics","524
001","15","3.429","33.3","20.0","33.3","6.7",".",".",".",".",".",".",".",".",".",".","6.7","."
"Great Moral Philosophers","549
001","16","3.400","43.8","25.0","12.5",".","6.3","6.3",".","6.3",".",".",".",".",".",".",".","."
"Philosophy of Mind","001
551","24","3.396","37.5","20.8","29.2","8.3","4.2",".",".",".",".",".",".",".",".",".",".","."
"Political Philosophy","555
001","31","3.712","38.7","41.9","3.2",".",".",".",".","6.5",".",".",".",".","9.7",".",".","."
"Issues in Social Philosophy","557
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Ethical Issues in Health Care","558
001","20","3.450","45.0","30.0","5.0","10.0","10.0",".",".",".",".",".",".",".",".",".",".","."
"Spec Topics in Metaphysics","562
001","19","3.367","36.8","15.8","10.5",".","15.8",".",".","10.5",".",".",".",".","5.3","5.3",".","."
"Ethics of Modern Biotechnology","565
001","6","3.000",".","50.0","16.7","16.7","16.7",".",".",".",".",".",".",".",".",".",".","."
"Directed Study","599
045","1","***","","","","","","","","","",".",".",".",".",".",".","."
"June 30, 2017","","","","","","","","","","","","","","","","","","Page 286 of 422",""
