"AFRICAN LANGUAGES & LITERA Section","","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","","GPA","","","","","","","","","","","","","","","",""
"104
AFRICAN","","","","","","","","","","","","","","","","","","","","",""
"Intro African Lit","201","001","","59","3.737","74.6","16.9","1.7","1.7","1.7","3.4",".",".",".",".",".",".",".",".",".","."
"The African Storyteller","210","001","","106","3.623","62.3","23.6","7.5","0.9","1.9","1.9","1.9",".",".",".",".",".",".",".",".","."
"Global HipHop & Social Justice","233","001","","92","3.291","40.2","25.0","10.9","8.7","9.8","3.3","1.1","1.1",".",".",".",".",".",".",".","."
"Africa: Introductory Survey","277","001","","15","3.733","60.0","26.7","13.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"African Lit in Translation","300","001","","24","3.652","50.0","41.7",".",".",".","4.2",".",".",".",".",".",".",".","4.2",".","."
"","322","002","","17","3.451","41.2","29.4","11.8","11.8","5.9",".",".",".",".",".",".",".",".",".",".","."
"","322","003","","17","3.975","94.1","5.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","322","004","","7","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Second Semester Arabic","","Course Total","","41","3.750","70.7","17.1","4.9","4.9","2.4",".",".",".",".",".",".",".",".",".",".","."
"Fourth Semester Arabic","324","001","","18","3.833","72.2","22.2","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Second Semester Swahili","332","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Fourth Semester Swahili","334","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"2nd Sem-Lang-South Africa","336","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Second Semester Yoruba","372","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"2nd Sem-Lang of West Africa","392","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study-African Lang","399","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","405","001","","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","405","002","","19","3.974","94.7","5.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"African Cultural Studies","","Course Total","","25","3.960","92.0","8.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","436","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","436","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Adv Studies-Swahili Lang-Rd","","Course Total","","4","***","","","","","","","","","","","","","","","",""
"Readings-Adv Arabic Texts","446","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Lusophone African LIt","451","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"6th Sem, Lang of N Africa","496","001","","6","3.700","50.0","16.7","16.7",".",".",".",".",".",".",".",".",".","16.7",".",".","."
"Adv. African Cultural Studies","605","001","","8","3.125","50.0",".","37.5",".",".",".","12.5",".",".",".",".",".",".",".",".","."
"Adv. Global Black Music Study","609","001","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","671","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","671","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Multilanguage Seminar","","Course Total","","5","***","","","","","","","","","","","","","","","",""
"","901","001","","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","901","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Smr-Mod Afr Lit","","Course Total","","8","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","990","019","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","023","","8","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","990","028","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Thesis","","Course Total","","10","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Indep Reading & Research","999","023","","3","***","","","","","","","","","",".",".",".",".",".",".","."
