"FRENCH (FRENCH AND ITALIAN) Section","","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"400
FRENCH","","","","","","","","","","","","","","","","","","","","",""
"Modernity Studies","348","001","","18","3.806","77.8","11.1","5.6","5.6",".",".",".",".",".",".",".",".",".",".",".","."
"French/Francophone Cultrl Stdy","462","001","","20","3.632","45.0","40.0","5.0",".","5.0",".",".","5.0",".",".",".",".",".",".",".","."
"Advanced Phonetics","590","001","","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contemporary Skill Set","617","001","","9","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Career Strategies","618","001","","10","3.850","70.0","30.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Communication orale","623","001","","9","3.778","55.6","44.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Le Siecle des Lumieres","630","001","","7","3.583","14.3","71.4",".",".",".",".",".","14.3",".",".",".",".",".",".",".","."
"Culture et societes","642","001","","9","3.889","77.8","22.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Cin¿ma fra¿ais/francophone","653","001","","9","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Senior Honors Thesis","682","035","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","699","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Prof French Masters Prg Intern","793","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","799","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","799","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","799","024","","21","3.953","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","799","035","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","799","036","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","799","039","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","","Course Total","","26","3.964","88.5","11.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Issues-Mthds Teachng Fr&Itl","821","001","","10","3.944","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Smr-Materials&Methods-Rsch","901","001","","7","",".",".",".",".",".",".",".",".",".",".",".","100.0",".",".",".","."
"Seminar-18th Century","931","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","019","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","036","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","037","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Individual Research","","Course Total","","8","",".",".",".",".",".",".",".","75.0",".",".",".","25.0",".",".",".","."
