"L&S","","","","","","","","","","","","","","","","","","",""
"STATISTICS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"932
STAT","","","","","","","","","","","","","","","","","","",""
"","224
001","77","3.084","18.2","27.3","32.5","7.8","10.4","2.6","1.3",".",".",".",".",".",".",".",".","."
"","224
002","61","2.811","9.8","23.0","24.6","14.8","23.0","4.9",".",".",".",".",".",".",".",".",".","."
"","224
003","64","2.944","18.8","23.4","12.5","15.6","25.0","1.6",".",".",".",".",".",".","1.6",".","1.6","."
"Intro Stats for Engineers","Course Total","202","2.958","15.8","24.8","23.8","12.4","18.8","3.0","0.5",".",".",".",".",".","0.5",".","0.5","."
"","301
001","142","3.437","54.2","16.9","13.4","5.6","4.9","3.5","1.4",".",".",".",".",".",".",".",".","."
"","002
301","140","3.221","39.3","23.6","14.3","9.3","5.0","6.4","2.1",".",".",".",".",".",".",".",".","."
"","003
301","143","3.109","36.4","16.1","18.9","11.2","7.7","7.0","2.1",".",".",".",".",".","0.7",".",".","."
"","301
004","89","3.213","40.4","19.1","14.6","14.6","4.5","3.4","3.4",".",".",".",".",".",".",".",".","."
"Intro-Statistical Methods","Course Total","514","3.249","42.8","18.9","15.4","9.7","5.6","5.3","2.1",".",".",".",".",".","0.2",".",".","."
"Acc Intro to Stat Meth","302
001","82","3.506","48.8","24.4","13.4","4.9","6.1","1.2",".",".",".",".",".",".","1.2",".",".","."
"","001
309","33","3.136","30.3","21.2","27.3","6.1","9.1","3.0","3.0",".",".",".",".",".",".",".",".","."
"","309
002","34","3.368","47.1","11.8","11.8","26.5","2.9",".",".",".",".",".",".",".",".",".",".","."
"Intro to Prob & Math Stat I","Course Total","67","3.254","38.8","16.4","19.4","16.4","6.0","1.5","1.5",".",".",".",".",".",".",".",".","."
"Intro to Prob & Math Stat II","310
001","39","2.897","28.2","17.9","20.5","7.7","12.8","7.7","5.1",".",".",".",".",".",".",".",".","."
"","311
001","55","3.482","56.4","12.7","20.0","3.6","3.6","1.8","1.8",".",".",".",".",".",".",".",".","."
"","311
002","59","3.178","28.8","16.9","28.8","15.3","8.5","1.7",".",".",".",".",".",".",".",".",".","."
"","311
003","57","2.938","12.3","21.1","31.6","15.8","15.8",".","1.8",".",".",".",".",".","1.8",".",".","."
"Intro Math Sat (Theo, Meth) I","Course Total","171","3.197","32.2","17.0","26.9","11.7","9.4","1.2","1.2",".",".",".",".",".","0.6",".",".","."
"","001
312","59","3.576","61.0","11.9","16.9","1.7","8.5",".",".",".",".",".",".",".",".",".",".","."
"","312
002","61","3.500","34.4","41.0","19.7","3.3",".","1.6",".",".",".",".",".",".",".",".",".","."
"Intro Math Stat (Theo,Meth) II","Course Total","120","3.538","47.5","26.7","18.3","2.5","4.2","0.8",".",".",".",".",".",".",".",".",".","."
"","324
001","54","3.019","24.1","20.4","27.8","13.0","3.7","11.1",".",".",".",".",".",".",".",".",".","."
"","324
002","79","3.019","24.1","24.1","22.8","12.7","8.9","3.8","3.8",".",".",".",".",".",".",".",".","."
"","324
003","78","2.769","20.5","16.7","16.7","14.1","20.5","10.3","1.3",".",".",".",".",".",".",".",".","."
"Intro Applied Stats for Engrs","Course Total","211","2.927","22.7","20.4","21.8","13.3","11.8","8.1","1.9",".",".",".",".",".",".",".",".","."
"","001
327","37","3.486","51.4","27.0","16.2",".",".",".","5.4",".",".",".",".",".",".",".",".","."
"","002
327","31","3.533","67.7","3.2","12.9","3.2","6.5",".","3.2","3.2",".",".",".",".",".",".",".","."
"","327
003","17","3.706","82.4","11.8",".",".",".",".","5.9",".",".",".",".",".",".",".",".","."
"","327
004","38","3.329","34.2","15.8","36.8","7.9","5.3",".",".",".",".",".",".",".",".",".",".","."
