"FOOD SCIENCE","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"390
FOOD SCI","","","","","","","","","","","","","","","","","","","",""
"201
Discovering Food Science","001","","42","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"299","028","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","035","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"299","040","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"299","045","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"301
Intro to Sci & Technol of Food","001","","63","2.817","7.9","22.2","34.9","14.3","12.7","6.3","1.6",".",".",".",".",".",".",".",".","."
"321
Food Laws and Regulations","001","","24","3.500","33.3","45.8","8.3",".","8.3",".",".",".",".",".",".",".","4.2",".",".","."
"375","002","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"375","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Topics","Course Total","","14","3.906","92.9","7.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"412
Food Analysis","001","","35","2.700","11.4","14.3","28.6","22.9","8.6","14.3",".",".",".",".",".",".",".",".",".","."
"432
Principles-Food Preservation","001","","47","2.777","10.6","12.8","38.3","6.4","27.7","4.3",".",".",".",".",".",".",".",".",".","."
"472
Animal Ag & Sustainable Devel","001","","9","3.889","88.9",".","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"511
Chem & Technol-Dairy Products","001","","14","3.192","21.4","28.6","28.6","7.1",".","7.1",".","7.1",".",".",".",".",".",".",".","."
"514
Integrated Food Functionality","001","","42","3.071","14.3","19.0","47.6","4.8","14.3",".",".",".",".",".",".",".",".",".",".","."
"550
Fermented Foods and Beverages","001","","46","3.185","17.4","34.8","23.9","15.2","8.7",".",".",".",".",".",".",".",".",".",".","."
"551
Food Fermentation Laboratory","001","","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"603
Senior Seminar","001","","41","3.573","36.6","41.5","22.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"611
Chem & Technol-Dairy Products","001","","8","3.500","12.5","75.0","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"642
Food & Phmaceut Separations","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"699","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","028","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","032","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems","Course Total","","4","***","","","","","","","","","","","","","","","",""
"900
Seminar Advanced","001","","30","4.000","26.7",".",".",".",".",".",".","73.3",".",".",".",".",".",".",".","."
"990","009","","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","020","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","027","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","028","","8","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","032","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","033","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","042","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","043","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","045","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","046","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","050","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research","Course Total","","33","",".",".",".",".",".",".",".","63.6",".",".",".","36.4",".",".",".","."
