"Summary by Level","","#","","Ave","A","AB","B","BC","C","D","","F","S","","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","",""
"E P","","","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","","1","***","","","","","","","","","","","","",".","",".","",".",".",".",".","."
"Sophomore","","","1","***","","","","","","","","","","","","",".","",".","",".",".",".",".","."
"Junior","","","6","3.750","50.0","50.0",".",".",".","",".",".","",".","",".",".","",".","",".",".",".",".","."
"Senior","","","40","3.680","70.0","15.0","5.0","2.5","2.5","",".","2.5","",".","",".",".","",".","",".","2.5",".",".","."
"Undergraduates","","","48","3.686","66.7","20.8","4.2","2.1","2.1","",".","2.1","",".","",".",".","",".","",".","2.1",".",".","."
"Special","","","1","***","","","","","","","","","","","","",".","",".","",".",".",".",".","."
"Graduate","","","14","3.810","35.7","28.6",".",".",".","",".",".","",".","",".","35.7","",".","",".",".",".",".","."
"","Dept. Total","","63","3.715","60.3","22.2","3.2","1.6","1.6","",".","1.6","",".","",".","7.9","",".","",".","1.6",".",".","."
