"SPANISH (SPANISH AND PORTU Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"912
SPANISH","","","","","","","","","","","","","","","","","","",""
"","226
006","18","3.694","66.7","16.7","5.6","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"","007
226","14","3.464","42.9","35.7","14.3",".",".","7.1",".",".",".",".",".",".",".",".",".","."
"","226
008","18","3.833","77.8","11.1","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","226
009","12","3.250","25.0","25.0","25.0","25.0",".",".",".",".",".",".",".",".",".",".",".","."
"","226
010","14","3.607","28.6","64.3","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","011
226","14","3.500","35.7","42.9","14.3",".","7.1",".",".",".",".",".",".",".",".",".",".","."
"","226
012","11","3.909","90.9",".","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","226
013","13","3.808","61.5","38.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","226
014","12","3.625","83.3","8.3",".",".",".",".","8.3",".",".",".",".",".",".",".",".","."
"","226
015","15","3.933","93.3",".","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","226
016","16","3.438","31.3","25.0","43.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Interm Lang Prac-","Course Total","217","3.677","61.8","23.0","10.1","2.8","0.9","0.9","0.5",".",".",".",".",".",".",".",".","."
"Latin America-Introduction","260
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","311
001","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","311
002","15","3.600","40.0","40.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","311
003","17","3.853","76.5","17.6","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","311
004","17","3.529","35.3","35.3","29.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","311
005","19","3.553","52.6","15.8","21.1","10.5",".",".",".",".",".",".",".",".",".",".",".","."
"","311
007","20","3.500","55.0","5.0","25.0","15.0",".",".",".",".",".",".",".",".",".",".",".","."
"","311
008","20","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","311
009","20","3.625","40.0","50.0","5.0","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"","311
010","19","3.632","78.9",".","15.8",".",".",".","5.3",".",".",".",".",".",".",".",".","."
"Advanced Language Practice","Course Total","165","3.700","64.8","17.6","13.3","3.6",".",".","0.6",".",".",".",".",".",".",".",".","."
"","319
001","9","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","319
002","15","3.567","66.7","20.0","6.7",".",".",".","6.7",".",".",".",".",".",".",".",".","."
"Topics in Span Lang Pract","Course Total","24","3.667","66.7","25.0","4.2",".",".",".","4.2",".",".",".",".",".",".",".",".","."
"","320
001","23","3.065","21.7","21.7","26.1","17.4","8.7","4.3",".",".",".",".",".",".",".",".",".","."
"","320
002","20","3.400","35.0","30.0","15.0","20.0",".",".",".",".",".",".",".",".",".",".",".","."
"","320
003","22","3.705","72.7","9.1","4.5","13.6",".",".",".",".",".",".",".",".",".",".",".","."
"","320
004","22","3.909","86.4","9.1","4.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Spanish Phonetics","Course Total","87","3.517","54.0","17.2","12.6","12.6","2.3","1.1",".",".",".",".",".",".",".",".",".","."
"Structure of Modern Spanish","321
001","23","3.783","69.6","17.4","13.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","322
001","14","3.643","57.1","28.6","7.1",".","7.1",".",".",".",".",".",".",".",".",".",".","."
"","322
002","13","3.462","53.8","7.7","15.4","23.1",".",".",".",".",".",".",".",".",".",".",".","."
"Survey of Early Hispanic Lit","Course Total","27","3.556","55.6","18.5","11.1","11.1","3.7",".",".",".",".",".",".",".",".",".",".","."
"Survey of Modern Spanish Lit","324
001","26","3.673","69.2","11.5","11.5",".","7.7",".",".",".",".",".",".",".",".",".",".","."
"","325
001","8","3.625","50.0","37.5",".","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"","325
002","13","3.769","53.8","46.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","325
003","25","3.500","36.0","32.0","28.0","4.0",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Conversation","Course Total","46","3.598","43.5","37.0","15.2","4.3",".",".",".",".",".",".",".",".",".",".",".","."
"","326
001","23","3.891","87.0","4.3","8.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","326
002","20","3.650","60.0","15.0","20.0","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"","003
326","16","3.400","37.5","31.3","6.3","6.3","12.5",".",".","6.3",".",".",".",".",".",".",".","."
"Survey of Spanish American Lit","Course Total","59","3.681","64.4","15.3","11.9","3.4","3.4",".",".","1.7",".",".",".",".",".",".",".","."
