"INDUSTRIAL & SYSTEMS ENGR","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"490
I SY E","","","","","","","","","","","","","","","","","","","",""
"Cooperative Education Prog","1","001","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Engineerng Economc Analysis","313","001","134","3.323","34.3","29.9","20.1","6.0","5.2","2.2","1.5","0.7",".",".",".",".",".",".",".","."
"Production Planning&Control","315","001","58","3.750","74.1","12.1","8.6","3.4",".","1.7",".",".",".",".",".",".",".",".",".","."
"Simulatn&Probablstc Modelng","320","001","64","3.349","29.7","26.6","31.3","4.7","6.3",".",".",".",".",".",".",".","1.6",".",".","."
"","321","001","21","3.190","23.8","23.8","33.3","4.8","14.3",".",".",".",".",".",".",".",".",".",".","."
"","321","002","22","3.386","31.8","18.2","45.5","4.5",".",".",".",".",".",".",".",".",".",".",".","."
"","321","003","21","3.475","33.3","38.1","14.3","4.8","4.8",".",".",".",".",".",".",".","4.8",".",".","."
"Simulation Modeling Lab","","Course Total","64","3.349","29.7","26.6","31.3","4.7","6.3",".",".",".",".",".",".",".","1.6",".",".","."
"Oper Rsch-Determnstc Modelg","323","001","53","3.151","32.1","13.2","39.6","1.9","5.7","5.7","1.9",".",".",".",".",".",".",".",".","."
"","348","001","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","348","002","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","348","003","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Human Factors Engineering Lab","","Course Total","46","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Introduction-Human Factors","349","001","83","3.657","55.4","31.3","4.8","6.0","2.4",".",".",".",".",".",".",".",".",".",".","."
"Junior Design Laboratory","350","001","57","3.956","96.5",".","1.8","1.8",".",".",".",".",".",".",".",".",".",".",".","."
"Industrial Data Analytics","412","001","28","3.643","57.1","17.9","21.4","3.6",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Manufac Sys,Dsgn&Anal","415","001","42","3.286","31.0","23.8","23.8","14.3","7.1",".",".",".",".",".",".",".",".",".",".","."
"Health Systems Engineering","417","001","50","3.870","78.0","18.0","4.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Senior Design Project","450","001","51","3.912","90.2","2.0","7.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Decision Making in Health Care","517","001","17","3.647","41.2","47.1","11.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Introduction to Optimization","524","001","12","3.042","16.7","25.0","33.3",".","25.0",".",".",".",".",".",".",".",".",".",".","."
"Linear Programming Methods","525","001","10","3.350","60.0","10.0","10.0",".","10.0","10.0",".",".",".",".",".",".",".",".",".","."
"Human Factors Engineering","549","001","25","3.583","36.0","44.0","12.0","4.0",".",".",".",".",".",".",".",".","4.0",".",".","."
"Human Perform&Accidnt Cause","555","001","39","3.671","51.3","33.3","7.7","5.1",".",".",".",".",".",".",".",".",".",".","2.6","."
"Patient Safety&Error Reduction","559","001","21","3.857","85.7","4.8","4.8","4.8",".",".",".",".",".",".",".",".",".",".",".","."
"Occupatnl Ergonics&Biomechancs","564","001","10","3.900","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Quality Engineering","575","001","63","3.794","68.3","23.8","6.3","1.6",".",".",".",".",".",".",".",".",".",".",".","."
"","601","003","32","3.563","40.6","31.3","28.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","601","004","27","3.944","92.6","3.7","3.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","601","005","6","3.833","83.3",".","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Spec Topics Industrial Engr","","Course Total","65","3.746","66.2","16.9","16.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Safety & Quality-Med Use Sys","608","001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Production Systems Control","615","001","25","3.780","56.0","44.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Simulation Modeling & Analysis","620","001","30","3.400","36.7","16.7","36.7","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"","632","001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","632","002","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro-Stochastic Processes","","Course Total","4","***","","","","","","","","","","","","","","","",""
"Design & Anal-Manufact Sys","641","001","32","3.578","34.4","46.9","18.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Performnc Anal-Manufact Sys","643","001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","014","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","022","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","027","1","***","","","","","","","","","",".",".",".",".",".",".","."
"June 30, 2017","","","","","","","","","","","","","","","","","","","Page 133 of 422",""
