"SOCIAL WORK","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"896
SOC WORK","","","","","","","","","","","","","","","","","","",""
"","656
001","25","3.820","72.0","24.0","4.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","656
030","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Fam Prac-Foster & Kinship Care","Course Total","32","3.853","78.1","18.8","3.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics-Contemp Soc Welfare","665
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Topics-Contemp Soc Welfare","672
001","9","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
030","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
050","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","8","3.583","37.5","37.5","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","711
010","23","3.391","34.8","30.4","17.4","13.0","4.3",".",".",".",".",".",".",".",".",".",".","."
"","711
020","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Human Behavior & Environmnt","Course Total","29","3.517","48.3","24.1","13.8","10.3","3.4",".",".",".",".",".",".",".",".",".",".","."
"","010
742","24","3.875","79.2","16.7","4.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","742
020","24","3.979","95.8","4.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Assess&Treat Chld&Adolescnt","Course Total","48","3.927","87.5","10.4","2.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","746
001","8","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","746
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Intrdis Care-Chld/Spec Hlth Nd","Course Total","9","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","799
018","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","799
032","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","799
040","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","3","***","","","","","","","","","","","","","","","",""
"","801
001","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","801
002","16","3.969","93.8","6.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","003
801","16","3.906","87.5","6.3","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","801
004","17","3.912","82.4","17.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","801
005","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","801
006","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","801
007","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","801
008","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","801
009","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","801
010","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","801
014","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","801
101","12","3.918","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","801
102","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","801
103","13","3.966","92.3","7.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","801
104","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","201
801","7","3.871","85.7",".","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","801
202","10","3.844","80.0","10.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","801
203","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Field Pract/Integrat Smr IV","Course Total","179","3.956","92.7","5.6","1.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","825
010","13","3.731","53.8","38.5","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","825
020","10","3.600","40.0","40.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Grief, Death, Loss and Life","Course Total","23","3.674","47.8","39.1","13.0",".",".",".",".",".",".",".",".",".",".",".",".","."
