"NUTRITIONAL SCIENCES","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"694
NUTR SCI","","","","","","","","","","","","","","","","","","","","",""
"","132","001","","178","2.890","14.6","17.4","28.1","18.0","19.1","2.2","0.6",".",".",".",".",".",".",".",".","."
"","132","002","","164","2.893","14.6","19.5","24.4","16.5","23.2","1.8",".",".",".",".",".",".",".",".",".","."
"","132","003","","170","2.876","15.9","17.6","25.3","15.3","21.8","2.9","0.6","0.6",".",".",".",".",".",".",".","."
"Nutrition Today","","Course Total","","512","2.886","15.0","18.2","26.0","16.6","21.3","2.3","0.4","0.2",".",".",".",".",".",".",".","."
"Prof-Dietetics & Nutrition","200","001","","28","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Introduction to Global Health","203","001","","69","3.899","84.1","11.6","4.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","299","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","299","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299","017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299","064","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299","069","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","","Course Total","","6","3.900","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Comparative Animal Nutritn","311","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Human Nutritional Needs","332","001","","94","2.947","24.5","9.6","25.5","18.1","19.1","3.2",".",".",".",".",".",".",".",".",".","."
"World Hunger & Malnutrition","350","001","","72","3.396","43.1","26.4","16.7","5.6","4.2","2.8","1.4",".",".",".",".",".",".",".",".","."
"Special Topics","375","001","","22","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Global Health Field Experience","421","001","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Nutrition in the Life Span","431","001","","83","3.169","19.3","27.7","36.1","8.4","4.8","3.6",".",".",".",".",".",".",".",".",".","."
"Undergrad Capstone Seminar Lab","500","001","","44","3.909","90.9",".","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Biochm Prin-Human&Anml Nutr","510","001","","36","3.681","63.9","16.7","13.9","2.8","2.8",".",".",".",".",".",".",".",".",".",".","."
"Applications-Clin Nutrition","520","001","","30","3.667","53.3","26.7","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Nutrition, Fitness and Health","525","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Adv Nutr: Metab-Macronutrients","619","001","","13","3.375","38.5",".","46.2","7.7",".",".",".","7.7",".",".",".",".",".",".",".","."
"Adv Nutritn: Obesity&Diabetes","625","001","","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Nutrition: Vitamins","627","001","","13","3.962","92.3","7.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Clinical Nutrition Research","653","001","","19","3.684","57.9","26.3","10.5","5.3",".",".",".",".",".",".",".",".",".",".",".","."
"Nutr & Dietetics Practicum II","671","001","","14","3.786","78.6",".","21.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Senior Honors Thesis","682","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Thesis","692","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","016","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","017","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems","","Course Total","","6","3.900","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Pract-Nutri Sciences Tchg","799","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Topics","875","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Smr-Human&Clinicl Nutrition","881","001","","8","4.000","62.5",".",".",".",".",".",".","37.5",".",".",".",".",".",".",".","."
"Seminar-Nutrition","931","001","","28","4.000","17.9",".",".",".",".",".",".","82.1",".",".",".",".",".",".",".","."
"","991","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","991","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","991","007","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","991","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"June 30, 2017","","","","","","","","","","","","","","","","","","","","","Page 37 of 422"
