"Summary by Level","#","Ave","A","AB","B","BC","","C","","D","","F","","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","","","","","","",""
"RADIOL","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Junior","3","***","","","","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Senior","1","***","","","","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Undergraduates","4","***","","","","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Prof Yr 1","1","***","","","","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Prof Yr 2","10","3.909","90.0","10.0",".","",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Prof Yr 3","22","3.523","36.4","31.8","31.8","",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Prof Yr 4","71","3.483","29.6","32.4","36.6","",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".","1.4","."
"Professionals","104","3.520","37.5","29.8","31.7","",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".","1.0","."
