"INTERDIS COURSES  (ENGR)","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"496
INTEREGR","","","","","","","","","","","","","","","","","","",""
"","110
001","249","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","110
002","258","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Introduction to Engineering","Course Total","507","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","002
170","23","3.804","65.2","30.4","4.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","170
003","23","3.848","69.6","30.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","004
170","23","3.761","56.5","39.1","4.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","170
005","24","3.729","58.3","29.2","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","170
006","20","3.725","55.0","35.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","007
170","21","3.571","28.6","57.1","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","170
008","24","3.813","75.0","12.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","170
009","16","3.813","62.5","37.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","170
010","24","3.854","70.8","29.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","170
012","23","3.696","60.9","21.7","13.0","4.3",".",".",".",".",".",".",".",".",".",".",".","."
"Design Practicum","Course Total","221","3.762","60.6","31.7","7.2","0.5",".",".",".",".",".",".",".",".",".",".",".","."
"Current Issues in Intl Engr","413
002","12","4.000","91.7",".",".",".",".",".",".",".",".",".",".",".","8.3",".",".","."
"","601
003","21","3.833","76.2","19.0",".","4.8",".",".",".",".",".",".",".",".",".",".",".","."
"","601
004","29","3.621","65.5","6.9","13.8","13.8",".",".",".",".",".",".",".",".",".",".",".","."
"Topics-Interdis Engineering","Course Total","50","3.766","70.0","12.0","8.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"Women&Leadershp-Med, Sci, Engr","650
001","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"INTEREGR
496","Dept. Total","799","3.773","23.7","9.5","2.5","0.8",".",".",".",".",".","63.5",".",".","0.1",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"496
INTEREGR","","","","","","","","","","","","","","","","","","",""
"Freshmen","","143","3.663","23.1","9.8","4.9","1.4",".",".",".",".",".","60.8",".",".",".",".",".","."
"Sophomore","","615","3.773","34.3","6.8","2.1","0.2",".",".",".",".",".","56.4",".",".",".","0.2",".","."
"Junior","","218","3.791","57.8","6.9",".","0.9",".",".",".",".",".","32.6",".",".",".","1.8",".","."
"Senior","","58","3.847","81.0","8.6",".","1.7",".",".",".",".",".","3.4",".",".","1.7","3.4",".","."
"Undergraduates","","1034","3.767","40.3","7.4","1.9","0.6",".",".",".",".",".","49.0",".",".","0.1","0.7",".","."
"Special","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Graduate","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","Dept. Total","1046","3.773","41.0","7.3","1.9","0.6",".",".",".",".",".","48.5",".",".","0.1","0.7",".","."
