"JOURN AND MASS COMMUNICA Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"512
JOURN","","","","","","","","","","","","","","","","","","","",""
"Senior Honors Thesis","Course Total","","9","",".",".",".",".",".",".",".",".",".",".",".","100.0",".",".",".","."
"682
Senior Honors Thesis","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"691
Senior Thesis","005","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"697","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"697","005","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"697","007","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"697","020","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"697","051","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"697","076","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"697","095","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Internship","Course Total","","17","",".",".",".",".",".",".",".",".",".","94.1",".",".",".",".","5.9","."
"699","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","007","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","033","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","036","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","048","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","051","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","093","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","14","3.700","71.4","14.3","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"800
Adv Mass Media Practice","001","","10","3.900","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"805
Smr-Communicatn Rsch Method","001","","11","3.750","63.6","18.2",".","9.1",".",".",".",".",".",".",".",".","9.1",".",".","."
"829
Political Communication","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"830
Internatnl/Develpmnt Commun","001","","7","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"849
Mass Communicatn&Individual","001","","14","3.821","78.6","7.1","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"880","016","","10","3.750","70.0","20.0",".","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"880","019","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Topics in Mass Communication","Course Total","","15","3.833","80.0","13.3",".","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"901
Colloquium:Mass Communicatn","001","","27","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"919
Smr-Hist of Mass Communication","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","003","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","005","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","014","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","019","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","033","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","035","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","036","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","038","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","048","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"February 03, 2012","","","","","","","","","","","","","","","","","","","Page 241 of 410",""
