"","","","","","","","(Non-Cross Listed)","","","","","","","","","","","",""
"EGR","","","","","","","","","","","","","","","","","","",""
"INDUSTRIAL & SYSTEMS ENGR","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"490
I SY E","","","","","","","","","","","","","","","","","","",""
"1
Cooperative Education Prog","001","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"313
Engineerng Economc Analysis","001","94","2.947","13.8","21.3","27.7","17.0","19.1","1.1",".",".",".",".",".",".",".",".",".","."
"315
Production Planning&Control","001","29","3.464","34.5","37.9","10.3","10.3","3.4",".",".",".",".",".",".",".",".","3.4",".","."
"320
Simulatn&Probablstc Modelng","001","39","3.218","23.1","33.3","15.4","20.5","7.7",".",".",".",".",".",".",".",".",".",".","."
"321","002","20","3.175","15.0","35.0","20.0","30.0",".",".",".",".",".",".",".",".",".",".",".","."
"321","003","19","3.263","31.6","31.6","10.5","10.5","15.8",".",".",".",".",".",".",".",".",".",".","."
"Simulation Modeling Lab","Course Total","39","3.218","23.1","33.3","15.4","20.5","7.7",".",".",".",".",".",".",".",".",".",".","."
"323
Oper Rsch-Determnstc Modelg","001","43","3.198","30.2","23.3","20.9","11.6","11.6","2.3",".",".",".",".",".",".",".",".",".","."
"349
Introduction-Human Factors","001","70","3.703","58.6","22.9","15.7","1.4",".",".",".",".",".",".",".",".","1.4",".",".","."
"415
Intro-Manufac Sys,Dsgn&Anal","001","41","3.646","48.8","31.7","19.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"417
Health Systems Engineering","001","40","3.525","47.5","15.0","32.5","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"510
Facilities Planning","001","30","3.400","30.0","36.7","20.0","10.0","3.3",".",".",".",".",".",".",".",".",".",".","."
"515","001","53","3.868","81.1","13.2","3.8","1.9",".",".",".",".",".",".",".",".",".",".",".","."
"515","002","45","3.844","80.0","8.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Engr Mgt-Cont Proc Imprvmnt","Course Total","98","3.857","80.6","11.2","7.1","1.0",".",".",".",".",".",".",".",".",".",".",".","."
"525
Linear Programming Methods","001","18","3.111","38.9","5.6","33.3","5.6","5.6","11.1",".",".",".",".",".",".",".",".",".","."
"575
Intro-Quality Engineering","001","52","3.683","42.3","51.9","5.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"605
Cmptr Integratd Manufactrng","001","20","3.175","25.0","20.0","25.0","25.0","5.0",".",".",".",".",".",".",".",".",".",".","."
"632
Intro-Stochastic Processes","001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"652
Sociotechnical Systems","001","25","3.740","60.0","28.0","12.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"653
Organization and Job Design","001","42","3.536","35.7","35.7","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"658
Managing Tech Chng-Mfg Syst","001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"671
E-Bus:Technol, Strategy & Appl","001","39","3.897","79.5","20.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","014","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","015","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","016","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","020","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","022","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","028","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","029","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","030","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","031","5","***","","","","","","","","","",".",".",".",".",".",".","."
"699","034","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","036","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","037","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","040","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","046","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","050","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","052","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","064","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","065","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Independent Study","Course Total","43","3.916","69.8","7.0","2.3",".",".",".",".","7.0",".",".",".","9.3","2.3",".","2.3","."
"702
Grad Cooperative Educ Program","001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"February 03, 2012","","","","","","","","","","","","","","","","","","Page 128 of 410",""
