"COUNSELING PSYCHOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"270
COUN PSY","","","","","","","","","","","","","","","","","","",""
"","105
001","12","3.958","91.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","105
003","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","105
004","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","105
005","9","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","105
006","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Human Dev; Awareness Proc","Course Total","44","3.977","95.5","4.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","110
001","10","3.700","80.0",".",".","20.0",".",".",".",".",".",".",".",".",".",".",".","."
"","110
002","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","110
008","19","3.763","73.7","15.8","5.3",".","5.3",".",".",".",".",".",".",".",".",".",".","."
"","110
009","11","3.636","90.9",".",".",".",".",".","9.1",".",".",".",".",".",".",".",".","."
"","110
010","13","3.885","84.6","7.7","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","110
011","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Human Dev:Career Strategies","Course Total","63","3.794","84.1","6.3","3.2","3.2","1.6",".","1.6",".",".",".",".",".",".",".",".","."
"","115
001","22","3.818","95.5",".",".",".",".",".","4.5",".",".",".",".",".",".",".",".","."
"","115
002","22","4.000","95.5",".",".",".",".",".",".",".",".",".",".",".",".",".",".","4.5"
"","115
003","10","3.950","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","115
004","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","115
005","88","3.727","77.3","9.1","4.5","4.5","2.3","2.3",".",".",".",".",".",".",".",".",".","."
"","115
006","76","3.434","57.9","14.5","11.8","6.6","2.6","3.9","2.6",".",".",".",".",".",".",".",".","."
"","115
007","9","3.667","66.7",".","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","115
008","21","4.000","95.2",".",".",".",".",".",".",".",".",".",".",".","4.8",".",".","."
"","115
010","12","3.917","91.7",".","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","115
012","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","115
018","18","3.882","83.3",".","11.1",".",".",".",".",".",".",".",".",".","5.6",".",".","."
"","115
019","14","3.857","85.7","7.1",".","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"","115
020","14","3.786","85.7",".","7.1",".","7.1",".",".",".",".",".",".",".",".",".",".","."
"","115
021","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","115
022","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","115
023","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","115
025","7","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","115
026","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","115
027","8","3.813","75.0","12.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","115
028","6","2.917","33.3","16.7","33.3",".",".",".","16.7",".",".",".",".",".",".",".",".","."
"","115
029","6","3.333","83.3",".",".",".",".",".","16.7",".",".",".",".",".",".",".",".","."
"","115
030","8","3.438","75.0","12.5",".",".",".",".","12.5",".",".",".",".",".",".",".",".","."
"","115
031","8","3.875","87.5",".","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","115
032","6","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","115
033","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Human Dev: Ed Effectiveness","Course Total","420","3.755","80.7","6.7","5.7","2.4","1.2","1.2","1.4",".",".",".",".",".","0.5",".",".","0.2"
"","125
001","14","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","125
002","20","3.850","85.0",".","15.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","125
003","19","3.921","84.2","15.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","125
004","19","3.711","78.9","15.8",".",".",".",".","5.3",".",".",".",".",".",".",".",".","."
"","125
005","13","3.462","23.1","46.2","30.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","125
006","19","3.974","94.7","5.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
