"","","","","","","","(Non-Cross Listed)","","","","","","","","","","","","","","","","",""
"AMN","","","","","","","","","","","","","","","","","","","","","","","",""
"AMN","College Total","386","3.837","83.7","9.8","5.2","0.3","0.5","",".","",".","",".","",".",".",".","",".","0.5",".",".","."
"Summary by College/School","","#","Ave","A","AB","B","BC","C","D","","F","","S","","U","","CR","N","P","","I","NW","NR","Other"
"AMN","","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","109","3.849","83.5","11.9","4.6",".",".","",".","",".","",".","",".",".",".","",".",".",".",".","."
"Sophomore","","126","3.791","81.7","7.9","8.7",".",".","",".","",".","",".","",".",".",".","",".","1.6",".",".","."
"Junior","","69","3.897","88.4","8.7","1.4",".","1.4","",".","",".","",".","",".",".",".","",".",".",".",".","."
"Senior","","75","3.872","85.3","12.0","1.3","1.3",".","",".","",".","",".","",".",".",".","",".",".",".",".","."
"Undergraduates","","379","3.846","84.2","10.0","4.7","0.3","0.3","",".","",".","",".","",".",".",".","",".","0.5",".",".","."
"Special","","12","3.600","75.0",".","16.7",".","8.3","",".","",".","",".","",".",".",".","",".",".",".",".","."
"","College Total","391","3.837","83.9","9.7","5.1","0.3","0.5","",".","",".","",".","",".",".",".","",".","0.5",".",".","."
