"INTERDIS COURSES (C A L S)","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"494
INTER-AG","","","","","","","","","","","","","","","","","","",""
"","155
001","154","3.815","81.8","9.1","4.5","1.9","1.9",".","0.6",".",".",".",".",".",".",".",".","."
"","155
002","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Issues in Ag, Envir & Life Sci","Course Total","166","3.828","83.1","8.4","4.2","1.8","1.8",".","0.6",".",".",".",".",".",".",".",".","."
"WISE Seminar","175
001","59","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Found Agri-sci&Nat Resrc Educ","200
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","375
004","18","4.000","16.7",".",".",".",".",".",".",".",".",".",".",".","83.3",".",".","."
"","375
015","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics","Course Total","27","4.000","44.4",".",".",".",".",".",".",".",".",".",".",".","55.6",".",".","."
"Honors Research Colloquium","488
001","8","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","875
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","875
017","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","875
018","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Topics","Course Total","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
