"Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"","Course Total","","18","3.985","94.4","5.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"999","002","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"999","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","004","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"999","005","","15","3.964","93.3","6.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"999","006","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"999","007","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"999","009","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"999","010","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"999","011","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"999","012","","8","4.000","87.5",".",".",".",".",".",".",".",".",".",".","12.5",".",".",".","."
"999","013","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"999","014","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"999","015","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"999","017","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"999","018","","11","3.944","90.9",".","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"999","020","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"999","022","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"999","024","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"999","031","","7","3.750","85.7",".","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"999","034","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"999","050","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"999","055","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"999","071","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"999","074","","12","3.923","91.7",".","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"999","077","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"999","080","","7","3.885","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"999","096","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"999","099","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","Course Total","","185","3.968","95.1","2.7","1.6",".",".",".",".",".",".",".",".","0.5",".",".",".","."
