"HISTORY","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"448
HISTORY","","","","","","","","","","","","","","","","","","","",""
"Amer Hist to Civil War Era","101","001","113","2.963","1.8","25.7","45.1","15.0","5.3","2.7",".","4.4",".",".",".",".",".",".",".","."
"Amer Hist-Civil War-Present","102","001","118","3.034","16.1","24.6","25.4","17.8","13.6",".","0.8","0.8",".",".",".",".",".","0.8",".","."
"Intro-E Asian History:China","103","001","65","3.238","18.5","29.2","30.8","9.2","6.2",".",".","6.2",".",".",".",".",".",".",".","."
"Late Antiquity (200-900 C.E.)","112","001","77","3.311","18.2","32.5","27.3","5.2","1.3",".","1.3","14.3",".",".",".",".",".",".",".","."
"Modern Europe 1500-1815","119","001","109","3.386","22.9","40.4","20.2","7.3","0.9",".","0.9","7.3",".",".",".",".",".",".",".","."
"Europe&Mod World 1815-On","120","001","178","3.094","14.0","24.2","36.0","12.9","6.2","2.2",".","3.9",".",".",".",".","0.6",".",".","."
"English History to 1688","123","001","71","3.327","23.9","39.4","19.7","9.9","2.8",".","1.4","2.8",".",".",".",".",".",".",".","."
"British Hist: 1688-Present","124","001","72","3.444","13.9","59.7","25.0",".",".",".",".","1.4",".",".",".",".",".",".",".","."
"Comparative World History","135","002","18","3.278","27.8","38.9","11.1","5.6","16.7",".",".",".",".",".",".",".",".",".",".","."
"History-S Asia to Present","142","002","37","3.267","18.9","37.8","24.3","13.5","5.4",".",".",".",".",".",".",".",".",".",".","."
"Amer Histories: 19th Century","150","001","116","3.365","26.7","41.4","16.4","10.3","2.6","1.7",".","0.9",".",".",".",".",".",".",".","."
"Asian Am Hist:Movmnt&Dislocatn","160","001","62","3.790","71.0","17.7","9.7","1.6",".",".",".",".",".",".",".",".",".",".",".","."
"","200","001","20","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","200","002","17","3.529","29.4","47.1","23.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","200","004","20","3.650","55.0","30.0","10.0",".","5.0",".",".",".",".",".",".",".",".",".",".","."
"","200","006","36","3.529","33.3","44.4","13.9","2.8","2.8",".",".",".",".",".",".",".",".","2.8",".","."
"","200","007","44","3.682","52.3","34.1","11.4","2.3",".",".",".",".",".",".",".",".",".",".",".","."
"Historical Studies","","Course Total","137","3.629","44.5","40.1","11.7","1.5","1.5",".",".",".",".",".",".",".",".","0.7",".","."
"Islam Wrld:MidEast,500-1500","205","001","35","3.721","48.6","42.9","5.7",".",".",".",".","2.9",".",".",".",".",".",".",".","."
"The American Jewish Experience","219","001","39","3.269","28.2","30.8","15.4","17.9","7.7",".",".",".",".",".",".",".",".",".",".","."
"Exploration-European Hist (H)","223","001","19","3.412","15.8","42.1","31.6",".",".",".",".","10.5",".",".",".",".",".",".",".","."
"SE Asia:Vietnam to Philipns","244","001","30","3.517","36.7","36.7","23.3",".","3.3",".",".",".",".",".",".",".",".",".",".","."
"History of American Capitalism","247","001","69","3.336","18.8","39.1","29.0","8.7","1.4",".",".","2.9",".",".",".",".",".",".",".","."
"Civs of India-Modern Period","252","001","34","3.544","32.4","50.0","14.7",".","2.9",".",".",".",".",".",".",".",".",".",".","."
"Africa: Introductory Survey","277","001","26","2.904","15.4","11.5","30.8","30.8","7.7","3.8",".",".",".",".",".",".",".",".",".","."
"Afro-Atlantic Hist 1808-Presnt","279","001","140","3.185","17.9","30.7","30.7","9.3","6.4",".","1.4","3.6",".",".",".",".",".",".",".","."
"Crusades: Christianity & Islam","309","001","66","3.351","19.7","33.3","28.8","3.0",".",".","1.5",".",".",".",".",".",".","13.6",".","."
"The Vietnam Wars","319","001","124","3.430","33.1","32.3","24.2","1.6","0.8",".","2.4","0.8",".",".",".",".","0.8",".","4.0","."
"The Renaissance","333","001","69","3.686","47.8","33.3","7.2","1.4","1.4",".",".","7.2",".",".",".",".","1.4",".",".","."
"Peoples Replc China 1949 on","342","001","34","3.426","26.5","38.2","29.4","5.9",".",".",".",".",".",".",".",".",".",".",".","."
"The Caribbean & its Diasporas","347","001","35","3.357","31.4","37.1","14.3","5.7","11.4",".",".",".",".",".",".",".",".",".",".","."
"Seventeenth-Century Europe","351","001","73","3.236","16.4","32.9","35.6","11.0","2.7",".",".","1.4",".",".",".",".",".",".",".","."
"Eighteenth Century Europe","352","001","73","2.974","11.0","16.4","37.0","20.5","5.5","1.4","1.4","6.8",".",".",".",".",".",".",".","."
"Women&Gender in US Since 1870","354","001","32","3.323","25.0","37.5","28.1","3.1","3.1","3.1",".",".",".",".",".",".",".",".",".","."
"The Second World War","357","001","75","3.338","20.0","36.0","29.3","6.7","2.7",".",".",".",".",".",".",".",".",".","5.3","."
"Hist of Africa Since 1870","378","001","54","3.175","16.7","31.5","31.5","11.1","9.3",".",".",".",".",".",".",".",".",".",".","."
"Islam in Iran","379","001","45","3.372","26.7","33.3","20.0",".","4.4",".","2.2","2.2",".",".",".",".","6.7","4.4",".","."
"Military Hist-United States","396","001","95","2.919","5.3","23.2","38.9","14.7","9.5","1.1","2.1","3.2",".",".",".",".","1.1","1.1",".","."
"The US Since 1945","398","001","168","3.301","14.3","39.9","32.7","4.2","3.6",".",".","5.4",".",".",".",".",".",".",".","."
"Immigratn&Assimlatn-Am Hist","403","001","70","3.494","30.0","40.0","21.4","2.9","2.9",".",".",".",".",".",".",".","2.9",".",".","."
"History-American Education","412","001","57","3.246","24.6","28.1","33.3","3.5","8.8","1.8",".",".",".",".",".",".",".",".",".","."
"February 03, 2012","","","","","","","","","","","","","","","","","","","Page 225 of 410",""
